"","idle1_phi","idle2_phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.IDLE2","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.IDLE2","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.IDLE2","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"11",0.16,0.04,0.813166303416248,4,1.24069440944986,12.0347204725253,0.551457294663567,3.58273013176093,0.134215268511824,0.406031264025083,0.114043656276579,0.868840094075743,0.217210023470549,8.8313935948785,228.009340371949,2211.68778999982,101.34438669333,658.418324328342,24.665489429258,74.618632900747,20.9584395989647,159.671596188424,39.9178990382136,1622.99452048485,6.40881768948361,3.25298259786144,16.6245370579689,1.72140681331274,0.204596163938192,9.794294655009,0.446102183564077,15.9671596188424,3.99178990382136,41.3830609383253,10,1e-05,26.6054794915865,4.87565144741372,5.9728491859666,11.9995055720707,1.52813020825699,58.7283620285881,16.4952744438443,99.794747622127
"12",0.2,0,0.813165795426441,4,1.2406944021117,12.0347200887422,0.551457274758825,3.58273009110545,0.134215264497116,0.406031258240003,0.114043657634644,1.08605346654209,1.74215650707468e-19,8.83139323701596,228.00919658459,2211.68633781544,101.344319724888,658.417905539035,24.6654732827758,74.6185852228891,20.9584267556824,199.589986005173,3.20165630494198e-17,1622.9934408242,6.40881390846775,3.25298041236418,16.6245253918912,1.72140565967147,0.204596036163822,9.79428831885192,0.446101906638511,19.9589986005173,3.20165630494198e-18,41.3830333437142,10,1e-05,26.6054840256645,4.87565180155802,5.97284934804986,11.9995054167162,1.52813007375256,58.728361191834,16.4952746402749,99.7947435782803
"13",0,0.3,0.711520011729277,4,1.24069440192217,12.0347200330563,0.551457266303432,3.58273015107092,0.134215266159001,0.406031264070262,0.114043661170418,0,1.86180449712901,8.83139311617768,199.508030362233,1935.2253754318,88.6762710129813,576.115628999496,21.5822875918843,65.291257568862,18.3386224521994,0,299.384721625477,1420.11912299554,5.6077116972499,2.84635756070573,14.5464580928695,1.50622985951011,0.179021528623664,8.57000156788203,0.390339142416529,0,29.9384721625477,36.2101506010026,10,1e-05,26.6054839324506,4.87565152920637,5.9728494306574,11.9995057441696,1.52813024889384,58.7283620351227,16.4952751516893,99.7947422128077
"14",0.06,0.24,0.711520007128763,4,1.24069439959789,12.0347199756422,0.551457253926929,3.58273028978104,0.134215267862241,0.406031277676327,0.114043669913075,0.372360278357371,1.48944421312646,8.83139291050986,199.50802869851,1935.22535368672,88.676268449437,576.115647579549,21.5822877262255,65.291259334608,18.3386237394763,59.8768440679549,239.50787471401,1420.11908074129,5.60771153259614,2.84635765831852,14.5464581139753,1.50622991256584,0.179021492995922,8.57000144860364,0.39033915382715,5.98768440679549,23.950787471401,36.2101486976824,10,1e-05,26.6054815875464,4.87565152097239,5.9728499511263,11.9995066256222,1.52813002586099,58.7283640031039,16.4952764162272,99.7947398887614
"15",0.12,0.18,0.711519499294333,4,1.24069440492954,12.0347202724677,0.551457277920917,3.58273020272133,0.134215268396362,0.40603127024888,0.114043662441172,0.744724222121083,1.11708478228372,8.83139331245304,199.507887160641,1935.22402018547,88.6762090166826,576.115222388014,21.5822724081497,65.2912115398035,18.3386094491106,119.754192073726,179.631038720923,1420.11813179103,5.60770747903262,2.84635563143795,14.5464486294002,1.50622883764473,0.17902138848594,8.56999548313657,0.390338863683319,11.9754192073726,17.9631038720923,36.2101250384331,10,1e-05,26.6054800905872,4.87565149326413,5.97284945932405,11.9995058662112,1.52813027812731,58.7283629287981,16.4952753354911,99.7947444307193
"16",0.18,0.12,0.711519499165555,4,1.24069439425033,12.0347197470453,0.551457236448173,3.58273035154905,0.13421526800472,0.406031282334126,0.114043676064143,1.11708469639526,0.744724160419471,8.83139260870177,199.507885407278,1935.2239353455,88.6762023316745,576.115246215747,21.5822723412662,65.2912134713351,18.3386116364116,179.631024877254,119.754182130222,1420.1180183684,5.60770755207563,2.84635544908003,14.5464471979311,1.50622887523369,0.179021387647856,8.56999521370557,0.390338886420866,17.9631024877254,11.9754182130222,36.2101212154878,10,1e-05,26.6054825237208,4.87565166329116,5.97285012844057,11.9995067109121,1.52813035651031,58.728364676808,16.4952773059176,99.79473647833
"17",0.24,0.06,0.711520007323314,4,1.24069439771284,12.0347199369552,0.55145725144758,3.58273029790187,0.134215268320212,0.406031276988244,0.114043672007508,1.4894442045408,0.372360272895321,8.83139286274287,199.508028449939,1935.22534799487,88.6762680749958,576.115649042934,21.5822878057701,65.2912592418144,18.338624081283,239.507873398894,59.8768432060101,1420.11907344849,5.60771152298864,2.84635754930592,14.5464581292802,1.50622993789696,0.17902151597129,8.57000138576605,0.39033915879522,23.9507873398894,5.98768432060101,36.2101484884998,10,1e-05,26.6054815354187,4.87565160835979,5.97284987849813,11.9995064429647,1.52813033108265,58.7283639035796,16.495276719166,99.7947393489944
"18",0.3,0,0.711520515472871,4,1.24069441514698,12.0347207573332,0.551457328448899,3.58272992150226,0.134215260200427,0.406031247414391,0.114043645692673,1.86180031188345,1.47410495275719e-17,8.83139411743108,199.50817373699,1935.22686200354,88.6763437874311,576.115999963704,21.5823019136021,65.291301115594,18.3386329467423,299.384260581863,2.37041436981401e-15,1420.12028941997,5.60771555667021,2.84635986636756,14.5464710361536,1.50623086996379,0.179021642607811,8.57000796071475,0.390339396628032,29.9384260581863,2.37041436981401e-16,36.2101811396792,10,1e-05,26.6054805408303,4.87565199708562,5.97284818181391,11.9995032579771,1.52812995638811,58.7283596260175,16.4952729129882,99.7947535269713
"19",0,0.4,0.609874224142151,4,1.24069439997439,12.0347199025345,0.551457258704984,3.5827301777358,0.134215266244149,0.406031265287548,0.114043663220078,2.74850726531523e-18,2.89613941633185,8.83139295117702,171.006862815508,1658.76439471176,76.0082223228587,493.813341965348,18.4991014893223,55.9639286542021,15.7188176811763,3.78831084332201e-16,399.179456176693,1217.24479686774,4.8066094693541,2.43973475982284,12.4683912978456,1.29105401604678,0.153446995591763,7.34571467983174,0.334576369535899,3.78831084332201e-17,39.9179456176693,31.0372671426023,10,1e-05,26.6054842849721,4.87565204936594,5.97284981807415,11.9995061037426,1.52813017095866,58.728362211191,16.4952754481521,99.7947403483003
"20",0.08,0.32,0.609874727549166,4,1.24069441032301,12.0347205161389,0.551457299217204,3.58273010725573,0.134215269584931,0.406031259653441,0.114043654781959,0.57922673403393,2.31690693612778,8.83139366518323,171.007005395659,1658.76584847579,76.0082906460107,493.813739858122,18.4991172194568,55.9639740718148,15.7188294928821,79.8357987334389,319.343194932661,1217.24590002787,4.80661326222983,2.43973693405557,12.4684029768195,1.29105510782452,0.153447128541916,7.34572094602193,0.334576634830195,7.98357987334389,31.9343194932661,31.0372960596371,10,1e-05,26.6054793021596,4.87565152320346,5.97284921696607,11.9995056127058,1.52813030451064,58.7283613962738,16.4952742276626,99.7947484165705
