"reaction","phi","rel_phi","mu","mu_norm","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R"
"ADPS",0.0703,30.4809688257948,0.815730721793767,0.876289770143153,4,1.22653044786788,11.3265223937464,0.507632779354426,3.62434751945081,0.206742619064612,0.356989433003857,0.116875945095443,8.04035937720801
"ADPS",0.0723,31.3481372134419,0.813238807177701,0.873612858231184,4,1.22638153732492,11.3190768659295,0.507195122225877,3.6241993506212,0.207374606594815,0.356421550034624,0.116859880613757,8.03280121463722
"ADPS",0.0743,32.2153056010889,0.810767435005205,0.870958013813639,4,1.22623697968185,11.3118489831052,0.506771786168023,3.624034371434,0.207985621628903,0.355868334411166,0.116844180698588,8.02548801952059
"ADPS",0.0763,33.082473988736,0.808316355324279,0.868324968382325,4,1.22609596681524,11.304798340568,0.506360104339123,3.62385649930421,0.208576171210684,0.355329392082896,0.116829577377243,8.01837340221635
"ADPS",0.0783,33.9496423763831,0.80588353770643,0.865711540771732,4,1.22596023917121,11.2980119586786,0.505968004154908,3.62362637649144,0.209146629987192,0.354800365864203,0.116813007387319,8.01158941935189
"ADPS",0.0803,34.8168107640302,0.803468843676638,0.863117582226589,4,1.22582786223294,11.2913931103655,0.505587530331908,3.62337541883413,0.209698366526742,0.354283462324135,0.116796758762701,8.00500205147501
"ADPS",0.0823,35.6839791516772,0.801070966390613,0.860541688883769,4,1.22569923255596,11.2849616275785,0.505219241816044,3.6231117658375,0.210232791110343,0.353778824446991,0.116781026850808,7.99862365943454
"ADPS",0.0843,36.5511475393243,0.798690443826137,0.857984438659997,4,1.22557357215119,11.2786786076383,0.504858899505621,3.62286242768997,0.210751417070385,0.353288356855613,0.116767501409287,7.99238534422178
"ADPS",0.0863,37.4183159269714,0.796326051273142,0.85544451592393,4,1.22545141884329,11.2725709398166,0.504512489264404,3.62256599555827,0.211252646075161,0.35280599688556,0.1167524489489,7.98637902816354
"ADPS",0.0883,38.2854843146185,0.793977769464793,0.852921899978382,4,1.22533254050278,11.2666270253168,0.504177327158761,3.62225011705192,0.211738222330455,0.352333759526194,0.116737398842847,7.98056381564865
"ADPS",0.0903,39.1526527022656,0.791643299727378,0.850414121498362,4,1.22521686046944,11.2608430172582,0.503853105834288,3.6219157807523,0.212209125581088,0.351871095920323,0.116722264181696,7.97493471797569
"ADPS",0.0923,40.0198210899126,0.789323867475153,0.847922496871677,4,1.225104236188,11.2552118090681,0.50353949378117,3.62156163013675,0.21266551796717,0.351417626631795,0.116707033199689,7.96948561592466
