"reaction","phi","rel_phi","mu","convergence","f.TS","f.AAS","f.R","v.TS","v.AAS","v.R","p.TS","p.AAS","p.R","c.x_S","c.S","c.AA","c.P"
"R",0.0522250501002004,0.118236457642237,0.229636843880156,4,0.999999999956707,0.826239645954497,0.150134336355137,78.076526915873,64.5099219591205,11.7219675539361,10.5411363480194,37.8386240691555,2.66591394357184,100,59.0785203607514,229.875805263782,51.0456743607467
"R",0.051339879759519,0.116232449885589,0.225769352802732,4,0.999999999762347,0.826786004419644,0.148485395499083,76.7615799346861,63.465399982221,11.3979735584451,10.357321682878,37.5357665874147,2.59194619939544,100,58.8927584165188,230.622207032991,50.4850344696881
"R",0.0504547094188377,0.114228442128941,0.221900992975018,4,1.00000000000083,0.82733981085483,0.1468301811332,75.4463376115685,62.4197586891931,11.077799417334,10.1735999034306,37.2297985579482,2.51886312390921,100,58.7044643096391,231.373274105354,49.922261585288
"R",0.0495695390781563,0.112224434372293,0.218031796953732,4,0.999999999994084,0.827901246638825,0.145168497271606,74.1308109638303,61.3729908116653,10.7614584292084,9.98997492902763,36.9206467222158,2.44666742110248,100,58.513576140788,232.129134784855,49.3572890723459
"R",0.0486843687374749,0.110220426615645,0.214161762288034,4,0.99999999943399,0.828470501699433,0.14350011851015,72.8149991367176,60.3250789001848,10.4489610113496,9.80644913101883,36.6082300236336,2.37536113879844,100,58.3200292297494,232.889930284356,48.7900402934509
"R",0.0477991983967936,0.108216418858997,0.210290880107924,4,1.00000000002655,0.829047752500224,0.141824781792432,71.4988992385926,59.2760017184214,10.1403157826432,9.62302492263394,36.2924549695657,2.30494591722712,100,58.1237641589505,233.655810040649,48.2204258094268
"R",0.0469140280561122,0.106212411102348,0.20641917264039,4,0.999999999825614,0.829633236301506,0.140142285239411,70.1825186854937,58.2257501189909,9.83553855415791,9.43970556548925,35.9732463804429,2.23542503546742,100,57.9246995981965,234.426923361113,47.6483769813996
"R",0.0460288577154309,0.1042084033457,0.20254661214838,4,1.00000000010894,0.83022714228262,0.138452325845084,68.8658481379514,57.1742962942117,9.534636844955,9.25649278383797,35.6504981176099,2.16679988588058,100,57.7227716609488,235.203437588762,47.0737907873285
"R",0.0451436873747495,0.102204395589052,0.19867322821916,4,0.999999999901757,0.830829688803588,0.136754641967515,67.5488975878782,56.1216295674758,9.23762530583818,9.07339073230896,35.3241140495499,2.09907348709635,100,57.5179057733775,235.985515924265,46.4965782689553
"R",0.0442585170340681,0.100200387832404,0.194799013692036,4,1.00000000000717,0.83144113123906,0.135048961508518,66.2316646557671,55.0677301848421,8.9445175306776,8.89040172526122,34.9939965712673,2.03224861636748,100,57.3100153811582,236.773337708384,45.916646912896
"R",0.0433733466933868,0.0981963800757561,0.190923970462896,4,1.00000000001767,0.832061703567257,0.133334970753798,64.9141499585315,54.0125781991619,8.65532628607555,8.70752887643723,34.6600333149083,1.96632786494577,100,57.0990207931396,237.567089156576,45.3338900562913
"R",0.0424881763527054,0.096192372319108,0.1870481006348,4,1.0000000000005,0.832691678720291,0.131612366456593,63.5963542158639,52.9561549524713,8.37006667635738,8.52477513203335,34.3221151067771,1.9013143564313,100,56.8848292352725,238.366966169657,44.7482045952417
"R",0.041603006012024,0.09418836456246,0.183171406292943,4,0.999999999998203,0.833331335769778,0.129880821156689,62.2782781394889,51.8984407115153,8.08875390499601,8.34214359457967,33.9801243606656,1.83721123802895,100,56.6673458376646,239.17317496845,44.1594791932742
"R",0.0407178356713427,0.0921843568058119,0.179293888442447,4,1.00000000002079,0.833980897865123,0.128139918186516,60.9599220716995,50.8394105420867,7.81139942676156,8.15963804522863,33.6339133315998,1.77402080658711,100,56.446494732928,239.985933090726,43.5675721834156
"R",0.0398326653306613,0.0901803490491638,0.175415555643963,4,0.999999999678585,0.834640744594532,0.12638936715027,59.6412888997779,49.779049791888,7.53802476249221,7.97726138420033,33.2833758003196,1.71174764657201,100,56.2221467285779,240.805468331049,42.9723848310919
"R",0.03894749498998,0.0881763412925157,0.171536392116146,4,1.0000000000012,0.83531117162697,0.124628739640994,58.3223733195596,48.7173299895684,7.26864387967953,7.79501645815275,32.9283603932597,1.65039462652552,100,55.994201647238,241.632026875232,42.373771477938
"R",0.0380623246492986,0.0861723335358676,0.167656421489113,4,0.999999999845654,0.835992510704941,0.122857628560262,57.0031832975003,47.6542343304064,7.00327592139777,7.61290779444899,32.5687201229028,1.58996579313738,100,55.7625463078425,242.465859929191,41.7715937104892
"R",0.0371771543086172,0.0841683257792195,0.163775620310806,4,0.999999999966284,0.836685137975387,0.121075595878646,55.6837109037967,46.5897333420955,6.74193847863875,7.43093770459864,32.2043000551029,1.53046483903805,100,55.5270530769052,243.307244312892,41.1657025987396
"R",0.0362919839679359,0.0821643180225715,0.159894011315532,4,1.00000000036454,0.837389413993503,0.11928216974543,54.3639638670987,45.5238078284386,6.48465156366577,7.24911100686648,31.8349306972886,1.47189600929097,100,55.2875993661516,244.156463044345,40.555937713446
"R",0.0354068136272545,0.0801603102659234,0.156011583641781,4,0.999999999996524,0.838105785750896,0.117476891896561,53.0439384380212,44.4564317040745,6.23143702167294,7.06743057861875,31.4604487022607,1.4142639639515,100,55.0440328435135,245.013823910474,39.9421432448309
"R",0.0345216432865731,0.0781563025092753,0.152128347987307,4,1.00000000000615,0.838834626764662,0.115659186129061,51.7236383160023,43.3875788414474,5.98231391122597,6.88590122588153,31.0806493262437,1.35757273175564,100,54.7962269021052,245.879649816104,39.3241232838808
"R",0.0336364729458918,0.0761522947526272,0.148244286415641,4,1.00000000003221,0.839576431259734,0.113828517272747,50.4030573829413,42.3172190407864,5.73730528772862,6.70452582169238,30.6953428032548,1.30182724778698,100,54.5440133826417,246.754290755575,38.7016958727341
"R",0.0327513026052104,0.0741482869959791,0.14435942236331,4,0.999999999843245,0.840331691854825,0.111984308062745,49.0822035958314,41.2453311941134,5.49643660873553,6.52330951391309,30.3043222336154,1.24703299380464,100,54.2872247160628,247.638110489307,38.0746647413332
"R",0.0318661322645291,0.072144279239331,0.140473731987098,4,0.999999999997808,0.841100913216815,0.110125887013955,47.7610688755087,40.1718786474896,5.2597300746615,6.34225562422568,29.9073512498303,1.19319471068855,100,54.0256895055376,248.531508908972,37.4428015847446
