"","phi","mu","convergence","f.TS","f.ATPS","f.EAA","f.ENT","f.ADPS","f.RNAP","f.DNAP","f.GFP","f.R","v.TS","v.ATPS","v.EAA","v.ENT","v.ADPS","v.RNAP","v.DNAP","v.GFP","v.R","p.TS","p.ATPS","p.EAA","p.ENT","p.ADPS","p.RNAP","p.DNAP","p.GFP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"33",0.32,0.691186276064686,4,1.24069440466854,12.0347202267572,0.551457275376187,3.58273019982453,0.13421526823907,0.406031269485489,0.114043662627532,2.04437652829045,8.83139326757595,193.806513637153,1879.92076128486,86.1420923301861,559.651471561233,20.9655118266119,63.4253724934572,17.8145436725481,319.348169878667,1379.53514846775,5.44745502324456,2.76501478303029,14.1307519427618,1.46318505231176,0.173905462800428,8.32508912247132,0.379184078444622,31.9348169878667,35.1753414706768,10,1e-05,26.6054807147727,4.87565152668838,5.97284950089295,11.9995059044122,1.52813027894568,58.7283628183811,16.4952753624462,99.7947439236083
"34",0.33,0.68102169715199,4,1.24069440579505,12.0347202808738,0.551457279467585,3.58273018852892,0.134215268209895,0.406031270161089,0.114043660084814,2.13972915084208,8.83139333648312,190.956397033224,1852.27467247721,84.8752881555826,551.421240515097,20.6571932012428,62.4926396626256,17.5525627685269,329.327646971966,1359.24772807964,5.36734479065351,2.72435249206969,13.9229453893579,1.4416674723316,0.171348015809055,8.20266053565836,0.373607796352504,32.9327646971966,34.6580535128301,10,1e-05,26.6054804065779,4.87565151696322,5.97284944442137,11.9995057022133,1.52813035692943,58.7283629160999,16.4952749946675,99.7947447022593
"35",0.34,0.670857118505821,4,1.24069440440419,12.0347202129144,0.551457274568858,3.58273019955868,0.134215268336828,0.406031269012204,0.11404366295154,2.23797122843717,8.83139325328866,188.106280117185,1824.62856563744,83.6084826323722,543.191013121497,20.3488746077602,61.5599065765303,17.2905827032033,339.307118091473,1338.96028484621,5.28723458516286,2.68369021102865,13.7151385007799,1.42014988057452,0.168790560317331,8.08023174146391,0.368031524192575,33.9307118091473,34.1407649494948,10,1e-05,26.6054808458289,4.87565153796766,5.97284950112043,11.999505931376,1.52813029528336,58.7283627499252,16.4952754093107,99.7947437621619
"36",0.35,0.66069253899361,4,1.2406944045211,12.0347202237415,0.551457275217037,3.58273019070403,0.13421526884883,0.406031266918356,0.114043662801524,2.33923619693054,8.83139327267443,185.256163189835,1796.98246851854,82.3416778519791,534.960782006919,20.0405560449223,60.6271732751443,17.0286021519383,349.28659390981,1318.6728555834,5.20712436183412,2.64302795824379,13.5073317026868,1.39863228112297,0.166233103002923,7.957803013127,0.362455245976066,34.928659390981,33.6234769242464,10,1e-05,26.6054809233005,4.87565142158498,5.97284951230228,11.9995061321642,1.5281302052005,58.728362447071,16.4952753876125,99.7947439812211
"37",0.36,0.6505279611037,4,1.24069440464565,12.0347202200751,0.551457275501007,3.58273019451286,0.134215268332651,0.406031268406029,0.11404366286932,2.44366569735987,8.83139326579196,182.40604671796,1769.33637363147,81.0748732172486,526.730554108373,19.7322373777781,59.6944406587983,16.7666216751979,359.266067201301,1298.38542560753,5.12701414455212,2.60236566212195,13.2995251480286,1.37711470474824,0.163675655249162,7.83537438143049,0.356878969652053,35.9266067201301,33.1061885175364,10,1e-05,26.6054808562217,4.87565157908856,5.97284944097437,11.9995059558705,1.5281302599074,58.728362662248,16.4952753974185,99.7947439034491
"38",0.37,0.640363382844885,4,1.24069440549531,12.0347202491651,0.551457277424225,3.58273019139468,0.134215267951279,0.406031272329043,0.114043660227927,2.55141046193187,8.83139330010727,179.555930247013,1741.69028249847,79.8080687724725,518.500324891132,19.4239187213254,58.7617083542132,16.5046407965583,369.245542580847,1278.09800088922,5.04690393051071,2.56170337989508,13.0917184794793,1.35559711831545,0.161118211345091,7.71294590424789,0.351302689947407,36.9245542580847,32.5889003193865,10,1e-05,26.6054808580567,4.87565154842044,5.9728491036233,11.9995057853096,1.52813028405281,58.7283632296728,16.4952750153673,99.7947442912121
"39",0.38,0.630198803149385,4,1.24069436256252,12.0347181191827,0.551457107207843,3.58273082355317,0.134215266610555,0.406031323683289,0.114043716080698,2.66263002774321,8.8313904175304,176.705807133606,1714.0438798185,78.5412396228366,510.270185004174,19.1155998864105,57.8289826551594,16.2426682240528,379.224894017225,1257.81015770761,4.96679394532816,2.52104044359037,12.8839066196486,1.33407969104508,0.158560745748199,7.59051619876551,0.34572649160325,37.9224894017225,32.0715981806419,10,1e-05,26.6054901923531,4.87565216726028,5.97285232272663,11.9995092583247,1.52813063020278,58.7283706575509,16.4952830939122,99.7947117180935
"40",0.39,0.620034224423645,4,1.24069440190337,12.0347201289428,0.551457268535953,3.58273021530996,0.134215268359876,0.406031270181207,0.114043664144776,2.77749787388779,8.8313931490539,173.855696018187,1686.39806965485,77.2744578346805,502.039869183365,18.8072815200719,56.8962421158728,15.9806803157467,389.2044852568,1237.52311639639,4.88668347894767,2.48037877719731,12.6761048273342,1.31256195772753,0.156003299843355,7.46808830469215,0.340150138061124,38.92044852568,31.5543232748258,10,1e-05,26.6054811516176,4.87565158795441,5.97284963840584,11.9995060595832,1.52813032456099,58.7283629190098,16.4952755819003,99.7947425843091
"41",0.4,0.609869645247519,4,1.24069440317353,12.0347201796857,0.551457274005828,3.58273017859252,0.134215268001706,0.406031268347786,0.114043658698677,2.89619386672089,8.831393240279,171.005579348429,1658.75197902021,76.0076537671641,493.809634566091,18.4989628415583,55.9635089025861,15.7186990421639,399.183964090715,1217.23569772281,4.80657326458879,2.43971650747638,12.4682982211002,1.29104436051595,0.153445843372999,7.34565970496192,0.334573849800991,39.9183964090715,31.0370354542641,10,1e-05,26.6054812807773,4.87565158713378,5.97284978787675,11.9995058844867,1.52813030161052,58.7283626538237,16.4952747941767,99.7947436151527
"42",0.41,0.599710148752503,4,1.24069440840397,12.0347204195655,0.551457289890017,3.58273015706658,0.134215268703931,0.4060312660308,0.114043658444531,3.01885114680851,8.83139351356846,168.156888377798,1631.1197379008,74.7414845372343,485.583517608191,18.1907984795999,55.0312420345866,15.4568494976312,409.158461491008,1196.95844780337,4.72650304414087,2.39907463134075,12.2605959804588,1.26953753845636,0.150889674378083,7.22329227433249,0.329000363470947,40.9158461491008,30.5200070476445,10,1e-05,26.6054795450355,4.87565147115559,5.97284928592564,11.9995056257186,1.52813029559168,58.7283623186949,16.495274757417,99.7947467033236
