"","phi","mu","convergence","f.TS","f.ATPS","f.EAA","f.ENT","f.ADPS","f.RNAP","f.DNAP","f.GFP","f.R","v.TS","v.ATPS","v.EAA","v.ENT","v.ADPS","v.RNAP","v.DNAP","v.GFP","v.R","p.TS","p.ATPS","p.EAA","p.ENT","p.ADPS","p.RNAP","p.DNAP","p.GFP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"48",0.47,0.599179919269847,4,1.24540731009074,12.2703655005853,0.586903129850839,3.62396861497914,0.138698277435434,0.404962118539325,0.117975952822246,3.54269785271972,9.03272694075895,168.646409643124,1661.58739387181,79.4752888116937,490.738484208084,18.7817803249184,54.837808305585,15.9756737466466,479.733231426155,1223.16366340802,3.66622629658965,2.38458047591317,10.4432856265567,1.24466684593086,0.0602542870085301,7.08667577881015,0.334789002939832,47.9733231426155,28.8760129742118,10,1e-05,17.8784289771922,10.1563300295982,6.08339749908142,12.4718090689321,1.70245737074471,58.5737208255279,17.0640418162097,102.069814430576
"49",0.48,0.587874531654571,4,1.245407312196,12.2703656024748,0.586903140445437,3.62396855525786,0.138698277844298,0.404962114857574,0.117975946784442,3.68765267219644,9.03272711387462,165.464372325067,1630.23640758346,77.9757423924066,481.479172676602,18.4274038391568,53.8031224758015,15.6742423085043,489.94022179132,1200.08491008897,3.59705157228406,2.33958784823641,10.2462408192793,1.22118233054979,0.0591174036912726,6.95296379734589,0.328472162672114,48.994022179132,28.3311782735925,10,1e-05,17.8784291649803,10.1563300765289,6.08339703886536,12.4718078158514,1.70245831420015,58.5737202929995,17.0640409429017,102.069816386783
"50",0.49,0.576569143162912,4,1.24540731056586,12.2703655225945,0.586903131324676,3.62396860199642,0.138698278750862,0.404962117655838,0.117975952032008,3.83829193451021,9.03272698094259,162.282334262843,1598.88539465872,76.4761932337346,472.219874604736,18.0730273886875,52.7684374289998,15.3728123483847,500.147196367065,1177.00611421681,3.52787683180094,2.29459532306521,10.0491956503241,1.19769783920344,0.0579805199755047,6.81925159583257,0.322155338202365,50.0147196367065,27.7863421495406,10,1e-05,17.8784293787648,10.1563298177953,6.08339702257823,12.4718082236531,1.70245829866478,58.5737206977404,17.0640417019096,102.069814884651
"51",0.5,0.56526375509896,4,1.24540730939127,12.2703654641225,0.58690312525454,3.62396862483952,0.138698278397754,0.404962119675968,0.11797595420972,3.99495684036568,9.03272689538152,159.100296387529,1567.53438606315,74.9766445681174,462.960573591697,17.7186507860699,51.7337523076371,15.071381980681,510.354172939804,1153.92732594868,3.45870209538107,2.24960282571993,9.85215053160345,1.17421333953634,0.0568436356316302,6.6855394410681,0.315838507854926,51.0354172939804,27.2415062470353,10,1e-05,17.8784297624247,10.1563296061526,6.08339713455092,12.4718084938302,1.70245810299822,58.5737209899321,17.0640420168939,102.069813917811
"52",0.51,0.553958367061698,4,1.24540731066556,12.2703655236544,0.586903131447084,3.62396859756205,0.138698279078846,0.404962117347704,0.117975951668433,4.15801637748653,9.03272698769337,155.918258832317,1536.18339261383,73.4770974722802,453.701266208967,17.3642743155695,50.6990666339988,14.7699510117677,520.561159567541,1130.84856044099,3.38952736591994,2.20461027236583,9.65510567128949,1.15072883431358,0.0557067520747798,6.55182736230358,0.30952167187051,52.0561159567541,26.6966710740433,10,1e-05,17.8784295720961,10.1563297539188,6.08339690984824,12.4718079863308,1.70245855787751,58.5737206531719,17.0640416493222,102.069814960935
"53",0.52,0.542652978898226,4,1.24540731129267,12.2703655500656,0.586903134633676,3.6239685732807,0.138698279013227,0.404962115435866,0.117975949491467,4.32787011704645,9.03272703972546,152.736221155699,1504.8323944484,71.9775499594096,444.441959229697,17.0098977460561,49.6643810117772,14.4685200971555,530.768144153771,1107.76978926404,3.32035263381955,2.15961778439013,9.45806072400195,1.12724432305096,0.0545698680644151,6.41811526417737,0.303204835795447,53.0768144153771,26.1518357002207,10,1e-05,17.878429745323,10.1563297685336,6.08339680610657,12.4718080502804,1.7024584356171,58.5737203766437,17.0640413344458,102.069815548898
"54",0.53,0.531347590728093,4,1.24540730941517,12.2703654628551,0.586903127181279,3.62396861975996,0.13869827769249,0.404962118715532,0.117975953328559,4.50495165479972,9.03272689518863,149.554183173237,1473.48138248532,70.4780011517936,435.182660866308,16.6555210259491,48.6296960221351,14.1670899156855,540.975117036107,1084.69099420271,3.25117789507037,2.11462542948038,9.26101566394746,1.10375983386735,0.0534329827603173,6.28440302495844,0.296888004556789,54.0975117036107,25.6069993773797,10,1e-05,17.8784292494707,10.1563300442111,6.08339749202532,12.4718093561522,1.70245723777625,58.5737208510146,17.0640418894428,102.069813915632
"55",0.54,0.520042202508759,4,1.24540731115609,12.2703655406829,0.586903135579902,3.62396856868373,0.138698279199217,0.404962114696171,0.117975948501847,4.68973261915403,9.03272703367434,146.372145611791,1442.13039022833,68.9784542386968,425.923350759461,16.3011446433594,47.5950101533795,13.865658695043,551.182106979899,1061.61223304304,3.18200316547373,2.06963279056425,9.06397078506422,1.08027531968472,0.0522960997881582,6.15069099950023,0.290571167006598,55.1182106979899,25.0621644554482,10,1e-05,17.8784295486089,10.1563300644338,6.08339695750439,12.4718082550413,1.70245831031967,58.5737202696541,17.0640411913071,102.06981548052
"56",0.55,0.508736814447475,4,1.24540730853842,12.2703654199058,0.586903123429156,3.62396863484263,0.138698277904286,0.404962119991128,0.11797595470636,4.88272597963987,9.03272683607926,143.190107584809,1410.77937517743,67.4789049409927,416.664054522114,15.9467679359052,46.5603253905373,13.5642287715892,561.389076118633,1038.53343285763,3.11282842575672,2.02464036159308,8.86692562233253,1.05679083385903,0.0511592147055961,6.01697876651517,0.284254340084841,56.1389076118633,24.5173280709854,10,1e-05,17.8784294977752,10.1563299977546,6.08339749214198,12.4718091286086,1.7024575434885,58.5737210355167,17.0640420887279,102.069813247696
"57",0.56,0.497431426087662,4,1.24540730799246,12.2703653961713,0.586903117548468,3.6239686445697,0.138698276839907,0.404962121101173,0.117975956397081,5.08449196188486,9.03272680712024,140.008069720079,1379.42837082532,65.9793563706589,407.404751358152,15.592391251629,45.52564010285,13.2627983010323,571.59605578215,1015.45465203049,3.04365368956693,1.9796477233458,8.66988045735404,1.0333063294353,0.0500223302074137,5.8832666194307,0.277937508960234,57.159605578215,23.9724926839432,10,1e-05,17.8784306768151,10.1563290614034,6.08339751739846,12.4718079135443,1.70245839663546,58.5737211960736,17.0640423332739,102.069812920459
"58",0.57,0.486126038696685,4,1.24540730937912,12.270365461726,0.586903126921788,3.62396860430046,0.138698278808848,0.404962115363158,0.117975955874836,5.29564257776757,9.03272691269039,136.826032343156,1348.07737909091,64.4798096347562,398.145443445161,15.238014936415,44.4909541458012,12.9613676045409,581.803043202506,992.375888109097,2.97447896398164,1.9346552939526,8.47283567521753,1.00982181961583,0.0488854476270786,5.74955451592968,0.27162067924638,58.1803043202506,23.4276573975801,10,1e-05,17.8784300831784,10.1563297482424,6.08339675807531,12.4718087421098,1.70245796380979,58.5737203661272,17.0640422577363,102.069814113401
"59",0.58,0.474820650837571,4,1.24540724712257,12.2703623256789,0.586902874334287,3.62396964620495,0.138698277799002,0.404962213294989,0.117976033998883,5.51684539175798,9.03272255750565,133.643987997863,1316.72604216112,62.9802346779854,388.886251482019,14.8836382768133,43.4562792999851,12.6599453377282,592.00973900356,969.296644011349,2.90530408691007,1.88966197491796,8.27578631209167,0.986337482118663,0.0477485584918676,5.61584173949441,0.26530392656059,59.200973900356,22.8828069188727,10,1e-05,17.8784409768428,10.1563317197721,6.08340193705093,12.4718133342403,1.70245918132583,58.5737345309872,17.0640535575984,102.069764899814
"60",0.59,0.463515261954835,4,1.24540730790241,12.2703653873708,0.586903120979622,3.6239686410565,0.138698278076588,0.404962120347451,0.117975955293182,5.74884411326095,9.03272679585844,130.461956571204,1285.37536765877,61.4807131730334,379.626838918443,14.5292617251501,42.4215838645874,12.3585062157927,602.21699863162,946.218320290425,2.83612949067835,1.84467031092863,8.07874565001227,0.962852827046733,0.046611678484889,5.48213026100444,0.258987007674541,60.221699863162,22.3379857042086,10,1e-05,17.878429728867,10.1563299895541,6.08339750687403,12.4718091190909,1.7024576367808,58.5737210870553,17.0640421736059,102.0698127932
"61",0.6,0.452209874182798,4,1.24540730773979,12.270365376116,0.586903118685081,3.62396864402178,0.138698278436991,0.404962121111633,0.11797595605695,5.99244016803351,9.03272678528103,127.279918918292,1254.02436653774,59.9811651135244,370.367535429541,14.1748852153479,41.3868985830921,12.0570756473945,612.42397886217,923.139542940492,2.76695475909331,1.79967769984748,7.88170060000065,0.939368325467813,0.0454747948310446,5.34841816792975,0.252670177013286,61.242397886217,21.7931502632754,10,1e-05,17.8784303687085,10.1563296144177,6.08339720743557,12.4718082300968,1.70245847315068,58.5737211975866,17.0640422840772,102.069812673676
"62",0.61,0.440904485944638,4,1.24540730876602,12.2703654309829,0.586903123625267,3.62396861843671,0.138698278401423,0.404962117483731,0.117975954828419,6.24852856354419,9.0327268691521,124.097881253478,1222.67337077029,58.481617724814,361.108228698842,13.8205086496368,40.352212817385,11.7556448641441,622.630965973684,900.060774104333,2.69778002724952,1.75468520541831,7.68465569423946,0.915883818724232,0.0443379107252835,5.21470601542024,0.246353341997877,62.2630965973684,21.2483150102754,10,1e-05,17.8784302440691,10.156329593608,6.08339721440457,12.4718081153951,1.70245846495374,58.5737206728469,17.0640421063825,102.069813621419
"63",0.62,0.42959909718875,4,1.24540730838144,12.2703654175639,0.586903124936936,3.62396862249631,0.138698279546273,0.404962118106186,0.117975954341889,6.51809541092006,9.0327268467126,120.915843300725,1191.32236665691,56.9820698898971,351.848924553039,13.4661321824848,39.3175274354979,11.454214145408,632.837946286235,876.981993461072,2.62860528914618,1.70969276155597,7.48761076687162,0.892399318485678,0.0432010270367933,5.08099391078288,0.24003650825277,63.2837946286235,20.7034791570969,10,1e-05,17.878429572858,10.1563301943247,6.08339709926887,12.4718090296403,1.70245794398446,58.5737207628787,17.0640420360108,102.069813367852
"64",0.63,0.418293709754637,4,1.24540730839353,12.2703654116235,0.586903122254246,3.62396862322015,0.138698278551159,0.404962117800025,0.117975955281504,6.8022336174832,9.03272684380191,117.733805759464,1159.97136698449,55.4825218459935,342.589621153703,13.1117555486147,38.2828420836146,11.1527835992197,643.044926791294,853.903217476888,2.55943055998834,1.66470019080009,7.29056571488788,0.868914816196326,0.0420641426252605,4.94728176401592,0.23371967595014,64.3044926791294,20.1586437913683,10,1e-05,17.878430320618,10.1563296275056,6.08339721208604,12.4718081752426,1.70245847547451,58.5737207185956,17.0640421719167,102.069813334962
