"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.Q","f.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.Q","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"22",0.21,0.593057570375115,4,1.26073024729685,13.0365124385229,0.655187285383528,3.31038028606154,0.146605722390007,0.344675592106649,0.109324807770176,1.79731618877997,4.70725660633278,10.1515423286641,2.56406966298635,1.572984565785,6.60634403281878,0.912496248413013,0.0488942235749645,4.95301931281567,0.219567762054037,30.8048559940863,80.6793833998255,18.3281714468364,10,1e-05,18.3995596522528,13.3213814968045,8.19781217252478,16.0011572686528,2.41838837347908,63.7511975160458,20.2207164451718,146.689786649196
"23",0.22,0.568346821913399,4,1.26073022910085,13.0365114883832,0.655187217657451,3.31038050551609,0.146605723827552,0.344675606905418,0.109324827030177,1.96476784601093,4.91191952187135,10.1515411057527,2.45723332081963,1.50744330276328,6.3310786267664,0.874475564606211,0.0468569622562962,4.74664318575422,0.210419119047096,32.2717503151526,80.6793742577739,17.5644943231864,10,1e-05,18.399565159973,13.3213831292521,8.19781396433897,16.0011595007453,2.41838881412929,63.7512002532261,20.2207200075015,146.689768978126
"24",0.23,0.543636132963565,4,1.26073025093914,13.0365125357355,0.655187293241751,3.310380255972,0.146605721993974,0.344675589823538,0.109324805204081,2.14744258129249,5.13518878700552,10.1515424619897,2.35039731367143,1.44190260189484,6.05581573447789,0.836454929037124,0.0448197071120717,4.54026794052449,0.201270455669587,33.7386513009337,80.67938363454,16.8008249578904,10,1e-05,18.3995596512174,13.321381455964,8.19781203618193,16.0011569299952,2.41838835144176,63.7511970937616,20.2207159705469,146.689788575752
"25",0.24,0.518925397141393,4,1.26073026411948,13.0365132067489,0.655187341875693,3.31038009167041,0.14660572187489,0.34467557158199,0.109324796779738,2.34751508960763,5.37972207981179,10.151543334145,2.24356108476318,1.37636169404049,5.78055193049501,0.798434231003815,0.042782448183356,4.3338920588859,0.192121791024119,35.2055522849145,80.6793906448453,16.0371530102398,10,1e-05,18.3995558872284,13.3213803880009,8.19781075523948,16.0011556285552,2.41838802591618,63.7511937198048,20.2207144123803,146.689801178395
"26",0.25,0.494213426228069,4,1.26073026500577,13.0365132540942,0.655187330400717,3.31038024725821,0.146605721878627,0.344675597401038,0.109324800073114,2.56760617258549,5.64872227321898,10.151543224799,2.13671949289879,1.31081739963119,5.50527376449201,0.760411698033553,0.0407450866348602,4.12750617055758,0.18297267944459,36.6725233246009,80.6793898264466,15.2734401556053,10,1e-05,18.3995533078014,13.3213789677929,8.19781088399522,16.001155576357,2.41838812689242,63.7511984952961,20.2207150215232,146.689799598345
"27",0.26,0.469503930732667,4,1.26073026201927,13.0365131009493,0.65518733228991,3.31038013717247,0.146605721890306,0.344675582303272,0.109324793980856,2.81084039260579,5.94600852282049,10.1515431768526,2.02988859705664,1.24527960761368,5.23002308491637,0.722392883321386,0.0387079292066657,3.92114057866328,0.173824474138929,38.1393477154276,80.6793893980272,14.5098046371479,10,1e-05,18.3995562741111,13.3213803451607,8.19781095972866,16.0011557699791,2.41838814807086,63.7511957028131,20.2207138946992,146.68979890552
"28",0.27,0.444793197528224,4,1.26073025963317,13.0365129816465,0.655187321531236,3.31038016333333,0.146605723192549,0.344675581668406,0.109324797678257,3.08111346126033,6.2763422358886,10.1515430249944,1.92305235143212,1.17973853288538,4.95475858642496,0.684372204029397,0.0366706700146652,3.71476470162714,0.164675820946477,39.6062451122176,80.6793881913993,13.746130540192,10,1e-05,18.3995575983428,13.3213798691243,8.19781113480084,16.0011559767495,2.41838854592371,63.7511955853883,20.2207145785704,146.689796711169
"29",0.28,0.420081244093957,4,1.26073026955785,13.0365134799808,0.655187361586236,3.31038002301198,0.146605721111978,0.344675573728784,0.109324784434713,3.3831994749853,6.64555852832962,10.1515436922628,1.81621084831361,1.1141943604541,4.67948100814003,0.646349637020476,0.0346333099271661,3.50837879934714,0.155526701877325,41.0732188251786,80.6793928846896,12.982419978249,10,1e-05,18.3995546020581,13.3213798745859,8.19781015297562,16.0011547756239,2.41838798357058,63.7511941168758,20.2207121290445,146.689806353197
"30",0.29,0.395371731144637,4,1.26073026140103,13.0365130700424,0.655187330001778,3.31038014549561,0.146605722019776,0.344675582824341,0.10932479469382,3.72301213956538,7.06088509228127,10.1515431358198,1.70937987037313,1.04865650693611,4.40422994670809,0.608330849879641,0.0325961509125505,3.30201311399411,0.146378505055025,42.5400415106121,80.6793890718746,12.2187827862507,10,1e-05,18.3995564148547,13.3213803953985,8.19781102270007,16.0011558542868,2.41838817445947,63.7511957991901,20.220714026569,146.689798312596
"31",0.3,0.370660997948442,4,1.26073026112556,13.0365130562817,0.655187329094903,3.31038014808451,0.146605722063676,0.344675582926667,0.109324794948529,4.10815131948291,7.5316107523852,10.1515431186939,1.60254362812614,0.983115473365392,4.12896556722985,0.570310171841662,0.0305588914790416,3.09563729182563,0.137229848655299,44.0069394194993,80.6793889357472,11.4551088373571,10,1e-05,18.3995564903558,13.321380430275,8.19781104898665,16.0011558911579,2.41838818228165,63.7511958181163,20.2207140736799,146.689798065127
"32",0.31,0.345949036638953,4,1.26073023908576,13.0365119547999,0.655187246216263,3.3103804518624,0.146605725408534,0.344675602739623,0.109324823531515,4.54833319833822,8.06961039891412,10.1515416493126,1.49570205038777,0.917571044650715,3.8536868879696,0.532287627866234,0.0285215307935186,2.88925106551469,0.128080756865799,45.4739040112364,80.6793769687688,10.6913948885132,10,1e-05,18.3995618934976,13.32138195742,8.19781277633893,16.0011588214631,2.41838887264595,63.7511994827207,20.2207193603891,146.689776832567
"33",0.32,0.32123953155339,4,1.26073026198468,13.0365130992246,0.655187332729891,3.31038013111583,0.146605722087147,0.34467558117692,0.109324793801089,5.05618627050322,8.69032015242663,10.1515431811424,1.3888711453141,0.852033414154433,3.57843684786508,0.494268813659924,0.0264843726548127,2.68288565219994,0.118932534825018,46.9407356696126,80.6793894321395,9.9277610850824,10,1e-05,18.3995563615837,13.3213803979293,8.1978109477403,16.001155796458,2.41838817290449,63.7511954944831,20.2207138614494,146.689798967508
"34",0.33,0.296527563924392,4,1.26073025270787,13.0365126357964,0.655187276295657,3.31038050113376,0.146605722771973,0.34467560694519,0.109324832088924,5.64873969027277,9.41455188639546,10.1515423188548,1.28202955689468,0.786489046958385,3.30315846313833,0.456246290041844,0.0244470110408715,2.47649936858096,0.109783444661295,48.4077028664288,80.6793825394353,9.16404792027182,10,1e-05,18.3995552988467,13.3213790405022,8.19781255529594,16.0011561355986,2.41838925622668,63.7512002605823,20.2207209431673,146.689786507452
