"x_C","x_C2","protein","phi","mu","mu_norm","convergence","f.TS","f.LAC","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.LAC","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.LAC","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.x_LAC","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
0.25,0.001,"LAC",0.1,0.5916645707309,0.902659574428796,4,1.27141472598385,0.0104415047279438,14.0928115353148,0.73573895395196,2.97002046992551,0.139449764279224,0.334833047825147,0.0726527416187294,11.6143926157636,170.00873686386,1.39619826125744,1884.43710695997,98.3802119533571,397.139830326504,18.646691592099,44.7726004408045,9.71484801919268,1553.03236441513,42.5021842159651,13.1242636558199,3.36821609262664,15.2110519034692,1.22618222049691,0.070877976185749,8.55164661220281,0.29995786664658,46.8882560147154,0.25,1e-05,0.001,12.3542152024888,8.78583972338906,3.92524383718061,9.53869039367298,1.21462970122117,48.4302520374293,10.508492547733,131.242636558128
0.25,0.001,"LAC",0.105,0.588474393465288,0.89779255315461,4,1.27083321576631,0.0110230145928248,14.0928115173862,0.735738952656506,2.97002046036681,0.13944976829951,0.334833046889943,0.0726527352228779,11.6143926039519,169.014734120659,1.46600817282778,1874.27646844067,97.8497586644112,394.99850351261,18.546151627078,44.5311923648367,9.66246599041625,1544.6586173357,42.2536835301647,13.7804768245811,3.35005499187219,15.1290358704293,1.21957079603173,0.0704958124993513,8.50553749775226,0.29834051624564,46.6354405850799,0.25,1e-05,0.001,12.3542152853379,8.78583959078306,3.92524417496393,9.5386910059871,1.21462999605374,48.4302519021613,10.5084916226371,131.242636424656
0.25,0.001,"LAC",0.11,0.585284216200047,0.89292553188099,4,1.27024536816537,0.0116108636570931,14.0928115909244,0.735738946706035,2.97002055240188,0.139449770314984,0.334833055551892,0.0726527413504244,11.6143925839548,168.02073161958,1.5358180830981,1864.1158420471,97.3193047616559,392.857190150987,18.4456113910865,44.2897855597016,9.61008562739134,1536.28486919156,42.005182904895,14.4366899811222,3.33189416591239,15.0470201528425,1.21295944668729,0.070113648349699,8.45942794450792,0.296723193371628,46.3826247610011,0.25,1e-05,0.001,12.3542138429189,8.78583851713634,3.9252443290268,9.53869157344888,1.21462987572714,48.4302531550257,10.5084925089254,131.24263619869
0.25,0.001,"LAC",0.115,0.582094038970312,0.888058510661538,4,1.26965107385892,0.0122051561693555,14.0928115026601,0.735738951659772,2.97002046455184,0.13944976834041,0.334833047569968,0.0726527356412262,11.6143925846146,167.026728696411,1.60562799509969,1853.95519437494,96.7888523078689,390.715853016014,18.3450706284041,44.0483765552076,9.55770369895148,1527.91112388692,41.7566821741026,15.0929031539371,3.31373300030051,14.9650038649574,1.20634797167909,0.0697314833637634,8.41331881682777,0.295105851825403,46.1298098891512,0.25,1e-05,0.001,12.354215355098,8.78583962773469,3.9252440971931,9.53869094448073,1.21463008004891,48.4302520005202,10.508491683147,131.242636206145
0.25,0.001,"LAC",0.12,0.578903861662758,0.883191489323364,4,1.26905023123574,0.012805998647616,14.092811493889,0.735738947712294,2.97002046674339,0.139449767479535,0.334833047802908,0.0726527357264862,11.6143925756354,166.032725968443,1.67543790771898,1843.79455698246,96.2583986694331,388.57452773583,18.2445300118241,43.8069686311036,9.50532253556843,1519.53737711599,41.5081814921108,15.7491163325584,3.29557186699668,14.8829875737903,1.19973654655396,0.069349317583744,8.36720938769403,0.293488516089285,45.8769950713034,0.25,1e-05,0.001,12.3542162075642,8.78583885736182,3.92524431394325,9.53869043388489,1.214630354135,48.4302520342126,10.508491695479,131.242636104681
0.25,0.001,"LAC",0.125,0.575713365304802,0.878323981233211,4,1.268442676675,0.0134135615525853,14.0928119114953,0.735738968384611,2.9700204847749,0.139449769940872,0.334833051556279,0.0726527339743119,11.614392991925,165.038624871164,1.7452548656486,1833.63295891146,95.7278951892569,386.432990358954,18.1439797736626,43.5655370214436,9.45293589433772,1511.16284822993,41.259656217791,16.4053957370969,3.27740947580669,14.8009647843302,1.19312455757185,0.0689671165798712,8.32109570499134,0.291871020702961,45.624156193882,0.25,1e-05,0.001,12.3542125021372,8.78583788441886,3.92524407968369,9.53869057667418,1.21463012866571,48.4302525771001,10.5084914420445,131.242640808753
0.25,0.001,"LAC",0.13,0.572523188064809,0.87345695999811,4,1.26782839731531,0.0140278331747926,14.092811552858,0.735738945275011,2.97002054951626,0.139449771154057,0.334833054512488,0.0726527414871575,11.6143925479537,164.044621244713,1.81506470821743,1823.47227618278,95.1974390762974,384.291673199713,18.0434394276625,43.3241294516067,9.40055569419994,1502.78904507188,41.0111553111782,17.0616082572438,3.25924829189763,14.718947938284,1.18651313055863,0.0685849520628217,8.2749859386679,0.290253700507504,45.3713382714765,0.25,1e-05,0.001,12.3542140032223,8.7858386819,3.92524421949161,9.53869141665357,1.21463022531198,48.4302530046862,10.5084925287025,131.242635791877
0.25,0.001,"LAC",0.135,0.569333011436001,0.868589939695449,4,1.26720723980322,0.0146489891829857,14.092811473337,0.735738948651562,2.97002047684262,0.139449767925123,0.334833048304316,0.0726527356479729,11.6143925426559,163.050618552851,1.88487460648564,1813.31163183154,94.6669865062405,382.150338676272,17.9428985276107,43.0827207445827,9.34817377526845,1494.41530060209,40.7626546382127,17.717821300965,3.24108721147036,14.6369316858813,1.17990166864694,0.0682027848794834,8.2288766658427,0.288636352170823,45.1185234239423,0.25,1e-05,0.001,12.3542153458004,8.78583951683901,3.925244551327,9.53869069707906,1.21463025748311,48.4302521067363,10.5084916841228,131.242635732012
0.25,0.001,"LAC",0.14,0.5661431525945,0.863723404217753,4,1.26657914669916,0.0152770826198286,14.0928114656756,0.735738948165692,2.97002047733754,0.139449768444865,0.334833048468325,0.0726527359933247,11.6143925340363,162.056715113733,1.95467755200503,1803.15200893404,94.1365862778454,380.009226926081,17.8423681271244,42.8413369095067,9.29579787397213,1486.04238985979,40.5141787784332,18.3739689888473,3.22292800038116,14.5549238222062,1.17329091122742,0.067820659205876,8.18277197659959,0.287019183778169,44.8657333139317,0.25,1e-05,0.001,12.3542155657186,8.78583952391371,3.9252443400016,9.53869072400958,1.21463034845037,48.4302521304586,10.5084917340745,131.242635634611
0.25,0.001,"LAC",0.145,0.562952975351844,0.858856382978589,4,1.26594387165968,0.0159123577384345,14.0928114701756,0.735738946442521,2.97002047907829,0.139449769506568,0.334833047370548,0.0726527357648527,11.6143925353522,161.06271243451,2.02448746421951,1792.991373495,93.6061329499428,377.867901614985,17.7418277602224,42.5999288195227,9.24341667117818,1477.66864463786,40.2656781086275,19.0301821636634,3.20476704618445,14.4729077570476,1.16667949216163,0.067438494635918,8.13666256549626,0.285401848568953,44.6129181730946,0.25,1e-05,0.001,12.3542157552845,8.78583911663338,3.92524447453664,9.53869106344398,1.21463026669734,48.4302519716761,10.5084917010283,131.24263564948
