"x_C","x_C2","protein","phi","mu","mu_norm","convergence","f.TS","f.LAC","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.LAC","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.LAC","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.x_LAC","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
0.58,0.05,"LAC",0.13,0.699738702834433,0.958468048908045,4,0.762756101120303,0.515647155909249,13.9201628509251,0.666668575874549,3.48095703054783,0.143502318841263,0.416116076954301,0.0838172519894105,10.9081699403213,109.414642779279,73.9677457592215,1996.79772279283,95.6312299231018,499.330873221478,20.5848959201423,59.6903674028939,12.0232859123545,1564.73808028929,14.799126320965,14.5351364453062,3.86565646838785,23.0051065773357,1.64824600575454,0.138484730824605,7.88692842810843,0.280253247379103,45.6498036642325,0.58,1e-05,0.05,10.2514771472492,2.49656778832992,3.67896854391823,9.50402563911714,1.66896623794267,54.5944292964043,10.9968234610107,111.808741888294
0.58,0.05,"LAC",0.135,0.698603351537754,0.956912899910648,4,0.742612041323282,0.535770618309957,13.9191329145859,0.666731739762716,3.47926313773632,0.143465665041281,0.415892921101272,0.0837567346941064,10.9088530651477,106.352208496951,76.7296856693922,1993.41034544899,95.4851107348404,498.278102225394,20.5462468578285,59.561558655246,11.9951107920881,1562.29706911274,14.4160304106581,15.0951813212515,3.85481768104407,22.9407850698712,1.64223546608055,0.138297588660494,7.87272309738426,0.2796964905717,45.575976792242,0.58,1e-05,0.05,10.2845838785928,2.50111395004017,3.67865844331463,9.49883137984722,1.6670338651004,54.5651512484869,10.9888835918668,111.815743917764
0.58,0.05,"LAC",0.14,0.697470905999351,0.955361731079638,4,0.72245863576625,0.555903176237894,13.918090599639,0.666795931317842,3.47754463830995,0.143428541857378,0.415666599513749,0.0836952834295967,10.9095487813832,103.298245243163,79.4838898556049,1990.0299683638,95.3395062782519,497.224672954722,20.5076331822634,59.4326487500873,11.9668801581102,1559.86403888207,14.0327908024181,15.6552025020308,3.84397652431674,22.8764338416175,1.63621424857179,0.138111754706577,7.85854544867051,0.279139859916884,45.5024600269292,0.58,1e-05,0.05,10.3181597402208,2.50571590914385,3.67832657802438,9.49356647551836,1.66507724807851,54.5354578562038,10.9808211859631,111.822875009178
0.58,0.05,"LAC",0.145,0.696340963888009,0.953813991321282,4,0.702288977771495,0.576051723074054,13.9170350199106,0.666861186019931,3.47580031275628,0.143390925944854,0.415436950143891,0.0836328502540833,10.9102574227531,100.251679660412,82.2313244794206,1986.65532394669,95.194366015787,496.170138713724,20.4690399949728,59.3035820910679,11.9385808095191,1557.43812985537,13.6492507617863,16.2154260101491,3.83312870749785,22.8120246477911,1.63017956249115,0.137927141723527,7.84439000352495,0.278583112008146,45.4292286362471,0.58,1e-05,0.05,10.3522304428664,2.51037683422287,3.6779732815771,9.48822858509264,1.66309455251195,54.5053278588786,10.9726299533357,111.830138583219
0.58,0.05,"LAC",0.15,0.695213914625589,0.952270214046709,4,0.68211023174393,0.596209097470975,13.9159664475274,0.666927526716332,3.47403004411831,0.143352811352952,0.415203967637323,0.0835694314915993,10.9109794014703,97.2135675054573,84.971036420578,1983.28756950569,95.0497458071047,495.114775432171,20.4304781764202,59.1743930203899,11.9102194801135,1555.02026392954,13.2655179577156,16.7756868111353,3.82227758822568,22.7475772539015,1.62413302846314,0.137743842109345,7.83026181105031,0.278026419846438,45.3563141526231,0.58,1e-05,0.05,10.3867961006048,2.51509633876358,3.67759706962386,9.48281596243966,1.6610857519774,54.4747605540167,10.9643094116978,111.83753886507
0.58,0.05,"LAC",0.155,0.694089810084969,0.950730470308865,4,0.661923577990437,0.616374120646602,13.9148849311865,0.666995012116513,3.47223303650057,0.143314185661586,0.414967552159048,0.0835049933413925,10.911715593931,94.1840541603199,87.7028942498824,1979.9268670445,94.9056604639523,494.058521619464,20.3919477612081,59.045073641247,11.8817928187421,1552.61067388002,12.8815864567472,17.3359881506754,3.81142322898353,22.6830919018957,1.61807428400897,0.137561885993584,7.81616153486442,0.277469763665955,45.2837276309582,0.58,1e-05,0.05,10.4218683723043,2.51987567853359,3.67719688348175,9.47732614155252,1.65905011940667,54.443742843267,10.9558551263907,111.845084837793
0.58,0.05,"LAC",0.16,0.692968367022751,0.949194372134716,4,0.64172424325206,0.636551544532783,13.9137893161272,0.667063644864992,3.47040830775637,0.143275035824434,0.414727565664049,0.0834395021462419,10.9124658045347,91.1623931896846,90.427567289842,1976.57225160653,94.7620709598793,493.001051475265,20.3534388601288,58.9155822071951,11.8532917872319,1550.20868979581,12.4973370313823,17.8964999034331,3.80056180105279,22.6185459314626,1.61200127364197,0.137381277593191,7.8020851139799,0.276912982091402,45.2114491818438,0.58,1e-05,0.05,10.4574712057939,2.524717801546,3.6767723419919,9.4717581096605,1.65698704758858,54.4122566151233,10.9472626815869,111.852774496481
0.58,0.05,"LAC",0.165,0.691850088413872,0.947662608474873,4,0.621521559385267,0.656732042987931,13.9126801185552,0.66713346834507,3.46855563318867,0.143235358856454,0.414483986521885,0.0833729399817197,10.9132308068605,88.149947891424,93.1438250111117,1973.22523886975,94.61905155697,491.942706905454,20.3149661162103,58.7859604578666,11.8247230590238,1547.81553821453,12.1129167754775,18.4570016015591,3.78969789231955,22.5539653489886,1.60591600439333,0.137202076239604,7.78803871624954,0.276356251318361,45.139521103775,0.58,1e-05,0.05,10.4936031064855,2.52962208635473,3.67632341388674,9.46611072418791,1.65489614192169,54.3802990316713,10.9385297256016,111.860615770321
0.58,0.05,"LAC",0.17,0.690734695706283,0.946134797782283,4,0.601310791502821,0.676920337730941,13.9115564623838,0.667204497775832,3.46667409652218,0.143195129704013,0.414236700516808,0.0833052821888628,10.9140106415423,85.1459764516891,95.852334517495,1969.88491756832,94.4765656277358,490.883175820691,20.2765180902583,58.6561705627797,11.7960789924073,1545.43059298128,11.7282031351303,19.0176635441889,3.77882813062486,22.489329371846,1.59981656168142,0.137024294750483,7.77401896751048,0.275799448318127,45.067925621758,0.58,1e-05,0.05,10.5302867161966,2.53459115307508,3.6758480155537,9.46038047213656,1.65277643339373,54.3478551078052,10.9296530231788,111.868609075809
0.58,0.05,"LAC",0.175,0.689622358944748,0.944611172975996,4,0.581095319402591,0.697113049213774,13.9104184305809,0.667276793883326,3.46476288747611,0.143154341461159,0.413985601370341,0.0832364909779357,10.9148062308701,82.1509466123241,98.5526728172436,1966.55179226116,94.334644316716,489.822480907325,20.2380991035834,58.5262140321657,11.7673577779899,1543.05435617327,11.3432284356352,19.5784336759923,3.76795351165197,22.4246440838511,1.59370306646417,0.136847982950903,7.76002778472766,0.275242589028192,44.9966827361165,0.58,1e-05,0.05,10.5675328250056,2.53962610638011,3.67534553626023,9.45456575974211,1.65062739107412,54.3149108997887,10.9206276163052,111.876763866418
