"","x_C","x_C2","protein","phi","rel_phi","mu","mu_norm","opt_phi_nonzero","convergence","f.TC","f.LAC","f.ATPS","f.EAA","f.ENT","f.RNAp","f.DNAp","f.r","v.TC","v.LAC","v.ATPS","v.EAA","v.ENT","v.RNAp","v.DNAp","v.r","p.TC","p.LAC","p.ATPS","p.EAA","p.ENT","p.RNAp","p.DNAp","p.r","c.x_GLY","c.x_LAC","c.C","c.AA","c.NT","c.ATP","c.RNA","c.DNA","c.p"
"1470",0.5,0.05,"LAC",0.15,15,0.588539835218233,0.935228901677827,FALSE,4,0.831934053333525,0.361809695176087,0.387487497028759,0.657302179864818,0.282084355261944,0.217855393468387,0.0415328190003464,0.623331322900063,110.655550729465,48.1243085537203,51.5397130489974,87.4277647575268,37.5200408717523,28.976946486363,5.52428036983843,82.9093009789084,27.609979075692,21.1309318474018,7.0163668512886,20.3300433702553,1.0834307480683,8.66084806176113,0.266397750651255,54.774881270296,0.5,0.05,4.97564125508443,7.16401053897761,5.12932827126567,9.23640494024692,49.2353189238554,9.38641709407828,140.872878975414
"1471",0.5,0.05,"LAC",0.14,14,0.591256847540046,0.939546414779778,FALSE,4,0.857694721678089,0.336050366142472,0.387490175524805,0.657295825232581,0.282067077388668,0.217841083181605,0.0415307245729751,0.623323345704916,114.608640267794,44.9044101026172,51.7780056371789,87.8305286013842,37.6909445595947,29.1088072561062,5.54950351487808,83.2909883817903,28.6029514853559,19.7219506599424,7.04632747617553,20.4184211283273,1.08808962687785,8.70059025028991,0.267624258619814,55.0251212437223,0.5,0.05,4.97853190585037,7.16577382868693,5.12913093730378,9.23745865945682,49.2320847990427,9.38594375349236,140.871076129311
"1472",0.5,0.05,"LAC",0.13,13,0.593972554515035,0.943861853598895,FALSE,4,0.883193969280895,0.310552440302407,0.387492819870513,0.657289530291638,0.282049957116366,0.217826906285527,0.0415286474268462,0.623315447019268,118.558013042927,41.6878755386695,52.0161826168873,88.2330987481085,37.8617649776137,29.2406040968858,5.57471415627524,83.6724926436457,29.5953920695122,18.3137121810593,7.07627437743647,20.506758026988,1.09274643631672,8.74031365056428,0.268850173752897,55.2752441107247,0.5,0.05,4.98139679044574,7.1675203860922,5.1289351693025,9.23850140926715,49.228880820529,9.38547431846723,140.869291026355
"1473",0.5,0.05,"LAC",0.12,12,0.596689672740734,0.948179534989157,FALSE,4,0.908460868888736,0.285286848689856,0.387495435310637,0.657283288625617,0.282032975976123,0.217812846706434,0.041526585794425,0.623307618569201,122.507643393426,38.4714639023287,52.2544825333913,88.6358779876818,38.0326730950271,29.3724688257177,5.5999375846237,84.054195480635,30.5882937596635,16.9048069628627,7.10623779074509,20.5951428338978,1.09740584323053,8.78005789608087,0.270076722865704,55.5254999872932,0.5,0.05,4.98423890639665,7.16925213530608,5.12874082540969,9.23953457371374,49.2257033556541,9.38500838954006,140.867521796639
"1474",0.5,0.05,"LAC",0.11,11,0.599406842664016,0.952497298530313,FALSE,4,0.933486098267461,0.260262911119756,0.387498019654509,0.657277102503684,0.282016139521358,0.217798909217194,0.0415245404987636,0.623299864717527,126.455577792315,35.2567615786054,52.492785976925,89.0386647653614,38.203583252199,29.5043353711571,5.62516117923698,84.4359060911725,31.5811604719274,15.4959390031466,7.13620260326243,20.68353106902,1.10206551910243,8.81980311515997,0.271303293539099,55.7757643510032,0.5,0.05,4.9870571244374,7.17096823558158,5.12854789602051,9.24055758254458,49.2225534830858,9.38454615272058,140.865769426161
"1475",0.5,0.05,"LAC",0.1,10,0.602124064084124,0.956815143903346,FALSE,4,0.958273095653156,0.235477190698759,0.38750057281343,0.657270972285364,0.281999445880472,0.217785092237038,0.0415225108990672,0.623292184056207,130.401839733716,32.0437451721587,52.7310928606408,89.441459202359,38.3744954476026,29.6362037326425,5.65038488105636,84.8176243925293,32.5739932556688,14.0871076782269,7.16616863437715,20.7719227749396,1.10672544228352,8.85954930854071,0.272529882948095,56.0260366197181,0.5,0.05,4.98985187716127,7.17266921308595,5.12835646022669,9.24157053167838,49.2194308455707,9.3840874631892,140.864033596703
"1476",0.5,0.05,"LAC",0.0900000000000001,9.00000000000001,0.604842694532193,0.961135228315429,FALSE,4,0.982837442890573,0.210914107520754,0.387503100744327,0.657264892181623,0.281982884023745,0.217771386065555,0.0415204964319991,0.623284571485173,134.348422677385,28.8307877063415,52.969522828194,89.844462260331,38.545494948983,29.7681396184176,5.6756213804953,85.1995410471004,33.5672884345841,12.6776081764518,7.19615128158717,20.8603620427845,1.11138794363122,8.89931623537559,0.273757106745071,56.2764419344896,0.5,0.05,4.99262468648045,7.17435580331264,5.12816634491904,9.24257457404253,49.2163332508155,9.3836321936318,140.862313155649
"1477",0.5,0.05,"LAC",0.0800000000000001,8.00000000000001,0.60755865750834,0.965451073937394,FALSE,4,1.00714579155704,0.186607005916166,0.387505594934124,0.657258871073747,0.281966481383549,0.21775781401436,0.0415184997464037,0.62327703512882,138.289432777586,25.6226826511133,53.2077176619431,90.2470697199729,38.716325977533,29.8999458026605,5.70083281669689,85.5810830704136,34.5595574453821,11.2695530786646,7.22610518623103,20.948716192602,1.11604605504927,8.93904443162304,0.274983123292548,56.5266044262687,0.5,0.05,4.99537175445826,7.17602575466933,5.12797788274937,9.24356776046509,49.2132659672454,9.38318094268723,140.860609939113
"1478",0.5,0.05,"LAC",0.0700000000000001,7.00000000000001,0.610277386977781,0.969771315701015,FALSE,4,1.03125002807407,0.162504004420067,0.387508064869246,0.657252897183828,0.281950197717067,0.217744341796703,0.0415165169417981,0.623269562987743,142.23277737456,22.4129893371443,53.4461544930357,90.6500872329845,38.8873295620647,30.0318852346408,5.72606967349901,85.9630143839452,35.5527861182358,9.86012448611737,7.25609055568757,21.0371622128637,1.12070906317614,8.97881315361603,0.276210387504181,56.7770252580292,0.5,0.05,4.99809881185471,7.17768266753538,5.12779060915601,9.24455261477311,49.2102212460548,9.38273282884637,140.85892123523
"1479",0.5,0.05,"LAC",0.0600000000000001,6.00000000000001,0.612994806342159,0.974089475620646,FALSE,4,1.05511702876774,0.138638223675215,0.387510504788032,0.657246977824473,0.281934059889645,0.217730992292782,0.0415145505743187,0.62326216206368,146.172564470222,19.2064995025905,53.6844754654088,91.0529103592488,39.0582498641884,30.1637606448752,5.75129407906909,86.3447618436243,36.5454859912463,8.45143491452647,7.28606222054434,21.1255672235449,1.1253699931138,9.01856293635133,0.277437057584508,57.0273282894801,0.5,0.05,5.00080209090516,7.17932419644052,5.12760484709495,9.24552756226333,49.2072042581688,9.38228842979603,140.857248626392
