"kcat","km","phi","mu","convergence","f.TS","f.TS2","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.TS2","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.TS2","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
6.02,1,0.0801,0.984405263524912,4,1.20567025072006,1.34061891727008e-18,10.2835125358986,0.423596112050736,3.84423638727196,0.121300206169387,0.459679443884712,0.123418671310584,6.73922735064645,220.757474204466,2.45466491248763e-16,1882.90475942252,77.5601850699266,703.877295298798,22.2099924240832,84.1670207215426,22.5978820759026,1233.94834294854,5.0202526307644,5.58297962280693e-17,2.63077324467397,13.0219284010379,1.39297024646212,0.158403259637332,7.64430246765448,0.392372070064822,32.413812040717,10,1e-05,34.2366994199675,3.57909960822255,4.83722615235965,9.76530574529343,1.49485508068526,54.7202410000361,14.691758632812,62.674814361012
6.02,1,0.0851,0.977460717870502,4,1.19884639478402,1.1825864056007e-16,9.94231974033111,0.40085550458767,3.87392770813651,0.119739060833015,0.460167838143251,0.128920951737389,6.35207999493387,217.959497925141,2.15003306794998e-14,1807.59022026687,72.8786147254487,704.309861494678,21.76948247477,83.6620532867099,23.4388208822824,1154.85701295832,5.02722666592315,4.95982205670021e-15,2.49407853370166,12.0171312702881,1.37516841233969,0.156187677064644,7.43041531317924,0.397974063498496,30.1761620168901,10,1e-05,36.6067097492974,3.66991110984456,5.06262497280439,9.95984438846247,1.501436275111,54.7783794525726,15.3467500948188,59.074343952885
6.02,1,0.0901,0.968784004189959,4,1.19243685373198,5.15507463183318e-17,9.62184277817511,0.38003397636625,3.89306662110424,0.118198621030666,0.459269073996707,0.133864686356738,5.99746794006002,214.869757481799,9.28912614932929e-15,1733.79665162477,68.4797757475329,701.506564577526,21.2986616071585,82.7574510463288,24.1215898375062,1080.70668711084,5.02545856577932,2.1729421318207e-15,2.36643685168302,11.1092998076515,1.35335149720693,0.153735475619679,7.21234112650161,0.401892148627009,28.1539363694891,10,1e-05,38.9587760290878,3.75457739305258,5.27315145237945,10.1262311012915,1.5041690084941,54.671390568568,15.935252263906,55.7764518425582
6.02,1,0.0951,0.958732243322837,4,1.18640305863513,2.36085874401488e-16,9.32015293166295,0.360917926979962,3.90316799077228,0.116676521568065,0.457236467184659,0.138284146347647,5.67181873122745,211.564373055602,4.20998240366097e-14,1662.00878986104,64.3603996047404,696.029298717774,20.8062470474865,81.5363259678099,24.6594093909586,1011.42252223929,5.01632671684745,9.98391899977037e-15,2.24714782416919,10.2876784288394,1.32844635197998,0.151098074916551,6.992642793359,0.40430332758989,26.3202706827138,10,1e-05,41.2880529523007,3.83323737777456,5.46928966522339,10.2670129834168,1.50371898633178,54.4294290536618,16.461344781224,52.7479142004153
6.02,1,0.1001,0.947592993633387,4,1.18071089212562,6.13655577578072e-16,9.03554460718749,0.34331867871902,3.90556977949287,0.115171640746373,0.454284291301407,0.142217145820148,5.37197369088698,208.103006612585,1.08158205001968e-13,1592.5354899985,60.5107056639964,688.365644010034,20.2992662095936,80.0686497492156,25.0660985973901,946.822701452934,5.00093146951663,2.59964516885855e-14,2.13555192695394,9.54261365110446,1.3012214407774,0.148317248560874,6.77333407495982,0.405378932685215,24.6520065806905,10,1e-05,43.5901155986359,3.90604785143899,5.65164352384306,10.3846510572111,1.50065556530088,54.0780020365195,16.9295290384305,49.9593553252489
6.02,1,0.1051,0.935598391496161,4,1.17533029265672,6.5365052207919e-25,8.76651470387791,0.32707064632773,3.90144237451495,0.113683798976535,0.450592296289175,0.145702802290857,5.09515708275465,204.53250641926,1.13749114132772e-22,1525.56029241147,56.9172593334291,678.934077080674,19.7834025798612,78.4126575389407,25.3553911875245,886.665863414467,4.98015964041344,2.77022811619635e-23,2.03103685949246,8.86553579936661,1.27230765354354,0.145427299362226,6.55597320044609,0.40528054028588,23.129239876708,10,1e-05,45.8610368571317,3.97318717341583,5.82089856983685,10.4814854806544,1.49546225010114,53.6385069502634,17.3444615847036,47.3849608696182
6.02,1,0.1101,0.922936387570356,4,1.17023478893598,1.36883007605158e-16,8.51173944153898,0.312029036620516,3.89180223871888,0.112213468730227,0.446310339120666,0.148779982264321,4.83893816525822,200.889721980011,2.34981813919498e-14,1461.17769369322,53.5648290488611,668.090777277506,19.2632561847904,76.6163856949391,25.5404894435295,830.681972445074,4.9547339425679,5.79679506785823e-15,1.93303936336211,8.24888784096452,1.24221887536657,0.142456752453508,6.34174623727787,0.404157697209664,21.7348842276993,10,1e-05,48.0974295250667,4.03485088713417,5.9777861548954,10.5597088443335,1.48854781356832,53.1287827689241,17.7107690887448,45.0021249369015
6.02,1,0.1151,0.909759452710718,4,1.16540096907939,7.07125392473989e-16,8.27004847417966,0.2980672326253,3.87752821651675,0.110761541898842,0.441562775638629,0.15148633773429,4.60118760046288,197.203625894187,1.19656405870228e-13,1399.41838791951,50.4375237308996,656.136938351928,18.7425429115072,74.719159093051,25.6337997541156,778.59114785826,4.92524928721517,2.98912989400606e-14,1.84104348824307,7.68602756918846,1.21137094012244,0.139429372584089,6.13153545069615,0.4021468719494,20.454241704306,10,1e-05,50.2964580003556,4.09125164714015,6.1230652911544,10.6213574673069,1.48025637864485,52.5636328120224,18.0329336438899,42.7910446843048
6.02,1,0.1201,0.896191755991362,4,1.16080812382063,7.66272624482443e-17,8.04040619732265,0.285074768390126,3.8593751643667,0.10932909372818,0.436452338620333,0.15385740926084,4.38004415363155,193.497040779188,1.27731260855964e-14,1340.26870928841,47.5195882526623,643.325678238484,18.2242488429916,72.752967722373,25.6467479706623,730.116859813473,4.89220274171049,3.23018365765953e-15,1.75457922759567,7.17113598194322,1.18009781779825,0.13636512526804,5.92598379930399,0.399370966973973,19.2746749681798,10,1e-05,52.4558411443888,4.14261416603538,6.25749376937931,10.6682924777153,1.47087540253004,51.9552863893645,18.3151859984104,40.7344106287734
6.02,1,0.1251,0.882334622893194,4,1.15643782756113,2.10234097516701e-19,7.82189137831325,0.272955073379573,3.83798961630429,0.107917279432334,0.431063606432782,0.155926296665338,4.17387740550217,189.787915013387,3.45024091062142e-17,1283.68375780477,44.7958143831097,629.86874846319,17.7107622815954,70.7436761002219,25.5897256511259,684.99271766503,4.85601418784211,8.83008805264866e-18,1.67321876599095,6.69911577999277,1.14866605537307,0.133280832573336,5.72554221266082,0.395939715565682,18.1852823211715,10,1e-05,54.5738194660695,4.18917180319626,6.38181708952899,10.7022089736459,1.46064473063424,51.3138117097584,18.5614663550419,38.8170598711702
