"idle1_phi","idle2_phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.IDLE2","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.IDLE2","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.IDLE2","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
0.16,0.04,0.904431052172961,4,1.24540731777511,12.2703658885019,0.58690315993226,3.62396850105366,0.138698271401149,0.404962109621107,0.117975951211668,0.798975440202986,0.19974386004521,9.03272747539024,254.56302148063,2508.0801844252,119.963837996224,740.744299645617,28.3501233195682,82.7748293582247,24.1144516929172,163.31171275775,40.8279281883059,1846.30230249029,5.53397872783978,3.59940070451866,15.7635996181353,1.87876011205427,0.090950723262699,10.6969700731182,0.505346665631537,16.331171275775,4.08279281883059,43.5868497527437,10,1e-05,17.8784283399476,10.1563295783991,6.08339635037758,12.4718061248927,1.70245801676774,58.5737195355969,17.0640415832556,102.06982047191
0.2,0,0.90443105217326,4,1.24540731460585,12.2703657302926,0.586903141982564,3.62396859377901,0.13869827758275,0.404962118281573,0.117975952116694,0.998719270735785,3.85095673085799e-17,9.03272720857448,254.563020832913,2508.08015208782,119.963834327321,740.744318599054,28.3501245831056,82.7748311284636,24.1144518779138,204.139634913745,7.87141015639772e-15,1846.30224795338,5.53397871375898,3.59940061068289,15.76359915157,1.87876014813568,0.0909507265816604,10.6969701833205,0.505346663907095,20.4139634913745,7.87141015639772e-16,43.5868477675604,10,1e-05,17.8784282322978,10.1563291397896,6.08339677316087,12.4718076493392,1.70245824611631,58.5737207882467,17.0640417141586,102.069817456892
0,0.3,0.791376605237303,4,1.24540730605002,12.2703653070196,0.586903120614175,3.62396857921915,0.138698278310954,0.404962115151972,0.117975951093643,2.55432357482023e-17,1.71209417418233,9.03272677859258,222.74248255591,2194.56848942211,104.96827621803,648.150813086258,24.8063414170878,72.4279249301429,21.1001301348052,4.56843613766058e-15,306.209948242881,1615.51323582178,4.84222788165021,3.14947305603297,13.7931384680842,1.6439138909116,0.0795818290918841,9.35984215597039,0.442178011408216,4.56843613766058e-16,30.6209948242881,38.1384624806586,10,1e-05,17.8784316570933,10.1563301410882,6.08339692188598,12.4718084071071,1.70245835254026,58.5737203355813,17.0640415661845,102.069812598096
0.06,0.24,0.791376605787075,4,1.2454073126582,12.2703656785997,0.586903139413982,3.6239685897256,0.138698277553957,0.404962118368863,0.117975951055406,0.342418279115507,1.36967596155284,9.0327271586773,222.74248389253,2194.5685574042,104.968279653319,648.15081541562,24.806341298931,72.4279255558033,21.1001301426249,61.2418902998091,244.968070046895,1615.51330492266,4.84222791070718,3.1494732572058,13.793139316871,1.64391394995787,0.0795818288590048,9.35984225520626,0.442178012440487,6.12418902998091,24.4968070046895,38.1384643271354,10,1e-05,17.8784285109396,10.1563292358957,6.08339682573813,12.4718076799876,1.70245828634327,58.5737208008723,17.0640415606539,102.069816893053
0.12,0.18,0.791377170624183,4,1.24540731384671,12.2703656924625,0.586903140151218,3.62396859202787,0.138698277696517,0.404962118621676,0.117975951090114,0.68483606859166,1.02725410283257,9.03272717073119,222.742643085307,2194.57012623485,104.96835470523,648.151278438522,24.8063590297052,72.427977295724,21.1001452088384,122.483780448581,183.725670663049,1615.51446013491,4.84223137141973,3.14947550808801,13.7931491773943,1.64391512406819,0.0795818857390083,9.35984894016657,0.442178328105667,12.2483780448581,18.3725670663049,38.1384915831178,10,1e-05,17.8784285229548,10.1563292390604,6.08339682739944,12.4718076900875,1.70245828754844,58.5737208374391,17.0640415656741,102.069817029262
0.18,0.12,0.791377170649009,4,1.24540732018654,12.270366009312,0.586903173618621,3.62396840670932,0.138698276390456,0.404962102235048,0.117975936455711,1.02725416225056,0.684836108172361,9.03272769394876,222.742644226182,2194.57018297263,104.96836069421,648.151245314402,24.8063587968927,72.4279743672274,21.1001425921192,183.725681295793,122.483787531481,1615.51455376371,4.84223139622135,3.14947563635656,13.7931499986695,1.64391505025992,0.0795818859828883,9.35984913333048,0.442178300273391,18.3725681295793,12.2483787531481,38.1384946577995,10,1e-05,17.8784282513487,10.1563297078631,6.08339617574383,12.4718069202956,1.70245808696465,58.5737184672774,17.064039448954,102.069822941621
0.24,0.06,0.791377170651643,4,1.24540731765088,12.27036588253,0.586903162881242,3.62396843486842,0.138698266090203,0.404962109672853,0.117975945280229,1.36967219323035,0.342418048312366,9.03272754168167,222.742643773417,2194.57016030481,104.968358774165,648.15125035285,24.8063569547623,72.4279756977292,21.1001441704655,244.967570929743,61.2418927332905,1615.51452653593,4.84223138637864,3.14947559996155,13.7931494957145,1.64391504779599,0.0795818802833389,9.35984905558147,0.442178321553657,24.4967570929743,6.12418927332905,38.1384940674304,10,1e-05,17.8784302358478,10.1563293459573,6.08339603746743,12.4718050788316,1.70245781254273,58.5737195430815,17.0640407253323,102.069821221003
0.3,0,0.79137660512797,4,1.24540730629073,12.270365323714,0.586903127776126,3.62396849641869,0.138698275939189,0.404962106133315,0.117975945636818,1.71209419466172,1.49243433050507e-19,9.03272688342918,222.742482568188,2194.56849210474,104.968277484452,648.150798187758,24.8063409894678,72.4279233071398,21.1001291559308,306.209951863338,2.66923540730448e-17,1615.51325434873,4.84222788191713,3.14947303590317,13.7931384972763,1.64391384161361,0.0795818273368485,9.35984207085403,0.442177996782242,30.6209951863338,2.66923540730448e-18,38.1384634447326,10,1e-05,17.8784327434925,10.1563303381049,6.08339717391192,12.4718077974924,1.70245831473469,58.5737190311227,17.0640407769093,102.06981378275
0,0.4,0.678322723909537,4,1.2454073135681,12.2703656758236,0.586903131422379,3.6239686463923,0.138698279057424,0.404962124539526,0.117975956792616,5.97483235030212e-17,2.66325690410013,9.03272709803236,190.9221063775,1881.05853830151,89.972799155707,555.55778408989,21.2625759461061,62.0810725759128,18.0858245550327,9.15947389375704e-15,408.279775151178,1384.72551517995,4.15048057342392,2.69954811208892,11.8226892232469,1.40906894830808,0.0682129895326176,8.02272103535688,0.379009695197055,9.15947389375704e-16,40.8279775151178,32.6901081154935,10,1e-05,17.8784289371448,10.1563282521388,6.08339622804353,12.4718076541414,1.70245864855372,58.5737216933971,17.064042390484,102.069816207766
0.08,0.32,0.678322724059633,4,1.24540729926559,12.2703650145741,0.58690308806353,3.62396878621031,0.138698277721631,0.404962135100445,0.117975967405087,0.532650663477926,2.13060599018795,9.03272626071944,190.922104227158,1881.05843734758,89.9727925286638,555.557805647053,21.2625757460327,62.0810742086487,18.0858261859363,81.655845079089,326.623891770626,1384.7253871255,4.15048052667735,2.69954793565476,11.8226881235485,1.40906896827913,0.0682129869092707,8.02272073043657,0.37900970500152,8.1655845079089,32.6623891770626,32.6901040846512,10,1e-05,17.8784310513115,10.1563298070021,6.08339774853178,12.4718087444555,1.70245852431754,58.5737232209284,17.0640439254718,102.06980674613
0.16,0.24,0.678322158405261,4,1.24540730930312,12.270365489869,0.586903130740399,3.62396857358173,0.138698277878437,0.404962114969264,0.117975950145838,1.06530563274327,1.59795678532996,9.03272697684666,190.921946555681,1881.05694159312,89.972724042611,555.557309770403,21.2625580391762,62.0810193530182,18.0858084582809,163.312214052995,244.968066019917,1384.72434218373,4.15047709903655,2.69954584217089,11.8226792171133,1.40906772664215,0.0682129310358689,8.02271421115603,0.379009360411399,16.3312214052995,24.4968066019917,32.6900804435098,10,1e-05,17.878430193837,10.1563297412895,6.08339703305986,12.4718080105976,1.7024583328994,58.5737203091544,17.064041429094,102.069814838367
0.24,0.16,0.678322159720052,4,1.24540731477682,12.2703656662161,0.58690313076307,3.62396869428927,0.138698274933501,0.404962139397859,0.117975951807167,1.59795678667351,1.06530564136681,9.03272704165645,190.921947764867,1881.05697227332,89.9727242204805,555.557329351804,21.2625576289284,62.0810232182731,18.0858087480197,244.968066700706,163.31221569154,1384.72435480314,4.1504771253232,2.69954594033229,11.8226794846011,1.40906781152742,0.0682129297817559,8.02271467367357,0.37900936473581,24.4968066700706,16.331221569154,32.6900800015181,10,1e-05,17.8784279389952,10.1563288675924,6.08339698547441,12.4718071110409,1.70245834255021,58.5737238425063,17.0640416693886,102.069815570718
0.32,0.08,0.678322723744333,4,1.24540730253757,12.2703651217724,0.586903098763657,3.62396873842447,0.138698278278235,0.404962129298626,0.117975964150858,2.13060603083195,0.532650675531513,9.03272642155615,190.92210464001,1881.05845290682,89.9727941271818,555.557798063203,21.2625758214773,62.0810732903676,18.0858256786532,326.623897849567,81.6558468889596,1384.72541113827,4.1504805356524,2.69954796977474,11.8226883628214,1.40906895292379,0.0682129873220889,8.02272071859342,0.379009699417489,32.6623897849567,8.16558468889596,32.6901048632265,10,1e-05,17.878430781385,10.156330044285,6.08339761748228,12.4718086861933,1.70245849361574,58.5737223817532,17.06404345478,102.069808563585
0.4,0,0.67832328913089,4,1.24540731936169,12.2703659680723,0.586903162363444,3.62396849930252,0.138698278659635,0.404962109694901,0.117975943120601,2.66325149051698,2.78744446590683e-17,9.03272755416905,190.922266354026,1881.06015052038,89.9728788700264,555.558224466719,21.2625936024464,62.0811220300883,18.0858375293499,408.279285447631,4.27318200634698e-15,1384.72673894698,4.15048405117448,2.69955052523377,11.8226998516461,1.40907008534413,0.068213045891443,8.02272775721916,0.379009982722062,40.8279285447631,4.27318200634698e-16,32.690137518116,10,1e-05,17.8784275174128,10.1563290596059,6.08339644666944,12.4718073923062,1.70245826271674,58.5737195462705,17.0640404129637,102.06982136211
