"","phi","mu","convergence","f.TS","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.IDLE","f.R","v.TS","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.IDLE","v.R","p.TS","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.IDLE","p.R","c.x_S","c.x_W","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
"16",0.15,0.865602356601804,4,1.24550421754498,12.2752108773025,0.587325868395801,3.62425543276231,0.138754323388098,0.404792089793008,0.118117461387863,0.783052972782029,9.03746987033253,243.65317320536,2401.35203067803,114.896288205513,708.999073836863,27.1439716648344,79.1879110300429,23.1068621628935,153.185624680023,1767.96527914995,5.89051627529441,3.84023919264602,16.5668593572986,2.00427273329681,0.0969686748323645,11.4166749013267,0.538528312221831,15.3185624680023,46.4507876198385,10,1e-05,17.7868695060247,10.1875548157419,6.08949263022628,12.4751471594026,1.7038888708054,58.5491278676607,17.0845096151406,102.123409534758
"17",0.16,0.855419302417984,4,1.24550422271672,12.2752111358142,0.587325879522406,3.624255448292,0.13875432725176,0.404792093668739,0.118117459746463,0.845196744628406,9.03747012119443,240.786807858227,2373.10227558395,113.544636078597,700.65832322393,26.82464734049,78.2563353082367,22.835029834453,163.397459791292,1747.16676339319,5.82121953063847,3.79506231471797,16.3719653763051,1.98069425903322,0.0958279272043175,11.2823680350058,0.532193000647194,16.3397459791292,45.9043359468158,10,1e-05,17.7868674542818,10.1875539286673,6.08949191892519,12.4751477521497,1.70388877060343,58.5491284282464,17.0845093777284,102.123412369497
"18",0.17,0.8452352295785,4,1.24550421818258,12.2752109470819,0.587325873446484,3.62425539782703,0.138754326859577,0.404792087722785,0.118117456106886,0.908844285471293,9.0374699754186,237.920153898018,2344.84960791377,112.192845402465,692.316725570759,26.5052902419052,77.3246645027318,22.5631699393195,173.610309071605,1726.36609014287,5.75191580852351,3.74988059940223,16.1770508056885,1.95711332082867,0.0946870610199851,11.1480473591292,0.525857041831997,17.3610309071605,45.3578278186455,10,1e-05,17.7868694473665,10.1875545322291,6.08949200692275,12.4751478692209,1.70388883095962,58.5491275682236,17.0845088513,102.12341072223
"19",0.18,0.835051667088416,4,1.24550421700421,12.2752108583226,0.587325867405184,3.62425543504374,0.138754329326618,0.404792088522024,0.118117458794765,0.974040980314088,9.03746984196594,235.053644247153,2316.59837578953,110.841122502392,683.975562715181,26.1859496885036,76.393041685861,22.2913248786123,183.822647039759,1705.56646226166,5.6826155752059,3.70470124642327,15.9821463531561,1.93353364890176,0.0935462536518771,11.0137333334522,0.519521416086572,18.3822647039759,44.8113466833615,10,1e-05,17.7868691506287,10.1875549765133,6.08949225936827,12.4751484869506,1.70388895175672,58.5491276838255,17.0845092400748,102.123409214215
"20",0.19,0.824868613063562,4,1.24550422070474,12.2752110349201,0.587325887062143,3.62425529632974,0.138754324401019,0.404792080726956,0.118117447107842,1.04084414511945,9.03747017334152,232.187278636042,2288.34860412478,109.489471912264,675.634783365823,25.8666236903042,75.4614637790888,22.0194906990267,194.034484606402,1684.76796017218,5.61331882416805,3.65952428196756,15.7872521197742,1.90995505285557,0.0924054995121082,10.8794264485305,0.513186075350923,19.4034484606402,44.26489619596,10,1e-05,17.7868702663459,10.1875549255333,6.08949181910449,12.4751472977333,1.70388862793196,58.5491265563469,17.0845075496783,102.123412958759
"21",0.2,0.814685049919638,4,1.24550422101295,12.2752110505871,0.587325891629869,3.62425531831844,0.138754327797167,0.404792078301396,0.118117450343377,1.10932073262655,9.0374701642501,229.320769074458,2260.0973896199,108.137750875196,667.293617233225,25.5472832817681,74.5298403210785,21.7476457300387,204.246825714705,1663.96835401151,5.54401859300887,3.61434500954216,15.5923481711682,1.88637540008964,0.0912646931188624,10.7451123631381,0.506850453286469,20.4246825714705,43.7184156012034,10,1e-05,17.7868683399225,10.1875560811191,6.08949181271564,12.4751479283759,1.70388875893368,58.5491262055139,17.0845080176661,102.123412856026
"22",0.21,0.804501486815849,4,1.24550422074875,12.2752110371319,0.587325889383905,3.62425533691215,0.138754327310919,0.404792082280788,0.118117449395564,1.17953090118454,9.03747013159784,226.454259418679,2231.84616985931,106.786028583583,658.952450415019,25.2279421529714,73.5982180424362,21.4757999866236,214.459166207093,1643.16874369089,5.47471835957247,3.56916569758267,15.3974437821122,1.86279572050008,0.090123883757786,10.6107985513713,0.500514818059783,21.4459166207093,43.17193505339,10,1e-05,17.7868681883235,10.1875560162958,6.08949203588438,12.4751478508618,1.70388876129365,58.5491267810932,17.0845078805743,102.123412487056
"23",0.22,0.794317923673867,4,1.24550421966129,12.2752109830598,0.587325882692908,3.62425532501624,0.138754322071034,0.404792082315976,0.118117453490674,1.25154132931513,9.03747009176309,223.587749605577,2203.59494276333,105.434305499285,650.611278006574,24.9086001718621,72.6665950339355,21.2039551518366,224.671506481159,1622.36913215319,5.40541812233262,3.52398633640777,15.2025389487157,1.8392159927567,0.0889830721815431,10.476484556021,0.494179200313381,22.4671506481159,42.6254551600782,10,1e-05,17.7868703813798,10.1875550442898,6.08949177584079,12.4751469184009,1.70388858411316,58.5491267861828,17.0845084728911,102.123412036923
"24",0.23,0.784133850676273,4,1.24550421724147,12.2752109020972,0.58732586453524,3.62425547790623,0.13875432846144,0.404792094519874,0.11811746285047,1.32542587253649,9.03746984448482,220.721096045195,2175.34229671062,104.082512737712,642.269717241893,24.5892442876301,71.7349275386154,20.9320976208135,234.884352267268,1601.56844267301,5.33611440988384,3.47880473396111,15.0076246185292,1.81563521277539,0.0878422100765966,10.3421638685983,0.487843273540112,23.4884352267268,42.0789456885871,10,1e-05,17.7868686671805,10.1875542937501,6.08949202331009,12.4751483476018,1.70388886652667,58.5491285513546,17.084509826692,102.123409242678
"25",0.24,0.77395079742571,4,1.24550422206938,12.2752111034541,0.587325878256358,3.62425548114406,0.138754324078052,0.4047920996656,0.118117463189094,1.40124722451803,9.03747005671474,217.854730806097,2147.09252939172,102.73086099251,633.928964853545,24.2699184672232,70.803352042087,20.6602656904729,245.096187938223,1580.76991750581,5.2668176678397,3.43362782867094,14.8127306247761,1.79205674141686,0.0867014559725716,10.2078568293229,0.481507961553238,24.5096187938223,41.532493737502,10,1e-05,17.786866883569,10.1875545168849,6.08949191352538,12.4751471555237,1.70388871838476,58.5491292956323,17.0845098756706,102.123411640877
