"","convergence","mu","x_C","x_W","C","AA","NT","ATP","RNA","DNA","P","tau TC","tau ATPS","tau EAA","tau ENT","tau RNAP","tau DNAP","tau R","v TC","v ATPS","v EAA","v ENT","v RNAP","v DNAP","v R","p TC","p ATPS","p EAA","p ENT","p RNAP","p DNAP","p R","q TC","q ATPS","q EAA","q ENT","q RNAP","q DNAP","q R"
"11",4,0.830624845134334,1.073741824,1e-05,7.20525647929354,8.21556422482177,6.31393829220838,10.7275554144772,54.3943597823287,11.82930915747,127.314016488069,0.0881251874960793,0.114939749998453,0.198508667891602,0.0248274659195931,0.251604542188721,0.0405943430687873,0.591037483716681,223.80697984429,72.1715299558734,118.537392393075,60.251538773501,45.181306670378,9.82571808696966,105.750185228833,19.7230320617093,8.29537761013393,23.5306998592935,1.49589302550214,11.3678219802887,0.398868570919635,62.5023233802221,1.19223061625646,0.384461233940635,0.631454427741949,0.320962863858438,0.24068300788641,0.0523420759180088,0.563336356141899
"12",4,0.798677739915556,0.8589934592,1e-05,6.22995629728999,7.76379670881481,6.16198486861045,10.3072561801292,54.2076449064051,11.529252229165,129.800108908274,0.100269293082444,0.123529264197388,0.210277978997358,0.0261907435588324,0.256270974736987,0.041347233943188,0.602781442472828,215.209440553298,69.4165425071246,114.976354169182,57.4240365815541,43.2944393199926,9.20815711330585,103.668457623653,21.5788984689474,8.57497441903182,24.17699538718,1.50397821622049,11.0951081652259,0.380731826349488,62.4894224253189,1.19228834628713,0.384576691700903,0.636983985563342,0.318136646036197,0.239856835869049,0.0510143903945352,0.574336765080858
"13",4,0.763694444208344,0.68719476736,1e-05,5.34968481145862,7.29871565674929,5.99356294365398,9.85514301600889,53.9418084886465,11.1967434818531,132.364341479075,0.114716008034093,0.133814482023503,0.224169007146997,0.0278795354748751,0.261777001735702,0.0422355865420222,0.616931319454497,205.770764801942,66.3516410089012,110.888158790136,54.3232009647285,41.1950594533298,8.5508907903172,101.085912198865,23.6052007082011,8.87881047301554,24.8576884603433,1.51450560840492,10.7839191500166,0.361151887985822,62.3630651911074,1.19221779947205,0.384435600028665,0.642476285625567,0.314743871301564,0.238680568533834,0.0495431127515624,0.585682926898561
"14",4,0.725758570340147,0.549755813888,1e-05,4.56473687082528,6.82589394286651,5.8083164866722,9.37399997118348,53.5892848100597,10.8315573199828,135.006210825735,0.132035321878552,0.146149013351385,0.240594913159038,0.0299839727031619,0.268274612266479,0.0432839230653584,0.633919448225479,195.518022165882,62.9931702080515,106.275718863245,50.9694137538583,38.8928827292999,7.8610955551081,97.9819145559262,25.8152849897301,9.20638967378259,25.5693973508168,1.52826551069185,10.4339730341286,0.34025905521673,62.1126412113687,1.19202724878463,0.38405449555754,0.64793798221671,0.31074848945449,0.237120729248052,0.0479272447786851,0.597372614273165
"15",4,0.685041476964972,0.4398046511104,1e-05,3.87220870845733,6.35070568350641,5.60615567493442,8.86723014462749,53.1437309766745,10.4342733180265,137.725695469414,0.15295734782393,0.160976256760823,0.260072881963101,0.0326257140143919,0.275946721416967,0.0445217553723861,0.654276225210492,184.502758893157,59.3667702315219,101.156056481196,47.39401912818,36.4056599596902,7.1479100048371,94.3478138403951,28.2210526664953,9.55664044785025,26.3079471370869,1.54626371406862,10.0460225068975,0.318237500659188,61.7295314963559,1.19172913810227,0.383458276420122,0.653381124094572,0.306124601635555,0.235149252109179,0.0461693509647191,0.609405732165547
"16",4,0.641816669094017,0.35184372088832,1e-05,3.26700447134637,5.8781893292667,5.38728124578649,8.33882871682006,52.6004784791885,10.0064302842391,140.521787094245,0.17841639346982,0.178853906022075,0.283251467197529,0.0359711417018817,0.285014328816591,0.0459847399528366,0.678658280529073,172.804391763644,55.5076495834286,95.5620122052442,43.6398045494594,33.7598638902643,6.42229375455182,90.1892253279669,30.8311363542154,9.92775994210079,27.0680801654836,1.56977359329103,9.62204494762314,0.295327508203792,61.2076645833271,1.1913389591039,0.382677921562747,0.658818604021278,0.300859247828381,0.232745479996409,0.0442762401957481,0.621777819001083
"17",4,0.596470285397561,0.281474976710656,1e-05,2.74265797423458,5.41296390385967,5.15216784148154,7.79336521971598,51.9570521595784,9.55067372765515,143.391121316344,0.209608046637777,0.200484776594007,0.310944725317198,0.0402510788947575,0.295745657607107,0.0477161524254278,0.70788452654901,160.532569749519,51.4605679430247,89.5437971952326,39.7606458369378,30.9908377300397,5.69669308407345,85.5285430550359,33.6489183669394,10.317060467458,27.8431714227305,1.60040889248909,9.16540568426574,0.27182427552053,60.5443322069407,1.19087425220675,0.381748485450056,0.664260235109985,0.294955281985465,0.22989846088309,0.0422596182639609,0.634473988125416
"18",4,0.549504044762919,0.225179981368525,1e-05,2.29195858265221,4.95918379447181,4.90147726665308,7.23597298050908,51.2136925373687,9.07083311368472,146.326882156644,0.248063100635492,0.226755938029114,0.3441753383461,0.0457909418464121,0.308469278968107,0.049769005073129,0.74298271294986,147.827550721426,47.2792727352604,83.1698499552264,35.8199722652072,28.1421311965286,4.98445948533918,80.4072136026227,36.6705605913075,10.7208558384183,28.6250112485344,1.6402302669362,8.68098291881905,0.248071589412652,59.7411697032155,1.19035376166191,0.38070751950096,0.669709693950242,0.28843364122879,0.226609259014906,0.0401364297065695,0.647464080339131
"19",4,0.501527304785525,0.18014398509482,1e-05,1.90740929456436,4.52052457703049,4.63586573189416,6.67233574055916,50.3736999869273,8.57193162370114,149.318233711776,0.295743803348695,0.258788749218246,0.384229598160803,0.0530579568755038,0.323593924387074,0.0522092433915247,0.785250351413761,134.857749737762,43.0251570439791,76.5264392027671,31.8878569964234,25.2637859865183,4.29905776404065,74.8871713088022,39.8833438184923,11.13442657633,29.4037229835563,1.69190454136847,8.17520765225261,0.224450553157022,58.8051775866194,1.18979704815761,0.379594090417404,0.675162767037993,0.281334059037711,0.222892477818262,0.0379289009898281,0.66070014916715
"20",4,0.453236010501407,0.144115188075856,1e-05,1.5815523438594,4.10019101627204,4.35562855010126,6.10866269991895,49.4433936332661,8.06012129755752,152.350450799079,0.355170147453547,0.298004152227109,0.432728413121896,0.0627369054391901,0.341641311348606,0.0551210422463405,0.836334599019418,121.813825683139,38.764974311392,69.7154787650691,28.0367914043286,22.4095264759922,3.6531372210624,69.0507105182655,43.2646344297611,11.552123305772,30.1678684960416,1.75894153115166,7.65602001195928,0.201364731093859,57.7494982932995,1.18922419268974,0.378448382370153,0.680606930185626,0.27371302425188,0.218776078023301,0.0356642535290156,0.674117038933978
"21",4,0.405378701961228,0.115292150460685,1e-05,1.30719661173248,3.70093900569469,4.06014805924942,5.55160735174824,48.4314436499849,7.54257770542462,155.406087605721,0.429587577134774,0.346209255587396,0.49172025421752,0.075854466064817,0.363304104626637,0.0586161574557353,0.898337665915304,108.899411002213,34.5676487264192,62.8503944583358,24.3365736706349,19.6330757609392,3.05760035966673,62.9983180704799,46.7818341238446,11.9676399329802,30.9048119407243,1.84603780163309,7.13277701039494,0.179224784118938,56.5937620120248,1.18865593718546,0.377311874463348,0.686022943924194,0.265637917763977,0.214298423230021,0.0333742376346222,0.687637555777526
"22",4,0.358712387754897,0.0922337203685478,1e-05,1.07757422516834,3.32510637684287,3.74709629801065,5.00811697376561,47.3473260744791,7.02746217115043,158.467317873761,0.523193666347766,0.405715592743666,0.563804606876907,0.0939863353575279,0.389554586999502,0.0628514589248398,0.973954939324158,96.3192152216435,30.5004311829677,56.0501768219238,20.8490399854636,16.9840723899861,2.52083773527058,56.8441899756111,50.3936033515512,12.3745005163351,31.6013479084659,1.95952486395629,6.61622330545068,0.158438329374545,55.3636795986272,1.18811402210646,0.37622804427329,0.691388534161459,0.257176480281594,0.20950144280743,0.0310949653590727,0.70118282245027
"23",4,0.313953676595002,0.0737869762948382,1e-05,0.886442857706869,2.97463347680446,3.41151142107574,4.48516430183721,46.1987794154741,6.5241299165516,161.519338621787,0.641450517350464,0.479503820951577,0.652298200533269,0.119601332624169,0.421856008905496,0.0680630301908228,1.06665690760947,84.26594355489,26.6248252817835,49.4321927783029,17.623607778967,14.5042766516896,2.04827457388482,50.709590201503,54.0524330883092,12.7667054547833,32.2445303977006,2.10780697601013,6.11871626034294,0.139411774161417,54.0897346704789,1.18762156687054,0.375243133641634,0.696684042978448,0.248382392712838,0.204419377944576,0.0288678314891664,0.714687339034454
"24",4,0.271732108016597,0.0590295810358706,1e-05,0.728141199051426,2.65103127217727,3.04540705307089,3.98931858156808,44.988649281407,6.04384144016283,164.553611062574,0.791520240590179,0.571454960483335,0.761461435009643,0.156609767999984,0.462576866765433,0.0746330088551258,1.18093469581492,72.9078523686791,22.992791973631,43.104585530362,14.6947011594092,12.2248605060561,1.64230577505351,44.7144996157765,57.7080408477702,13.1393450286929,32.8224795534453,2.30133373940416,5.65493766953591,0.122570221452393,52.8049040022733,1.18720278965291,0.374405580279177,0.701898115578871,0.239282733516109,0.199064819829234,0.0267426612396585,0.728113323285726
"25",4,0.232552983614239,0.0472236648286965,1e-05,0.597598193141063,2.35520187782265,2.64000872691832,3.52608757860298,43.7129440557329,5.6011037794721,167.567056208035,0.982858815890953,0.686664858806019,0.896804815186303,0.211141213394787,0.515769202510292,0.0832151588714688,1.32266150268349,62.3788274430807,19.6437060973088,37.1592162139813,12.0820708643847,10.165575562723,1.30255339544923,38.9682188766334,61.3095804773723,13.4886426737354,33.3245640292474,2.55102310262799,5.24309080104376,0.108392187740879,51.541762936267,1.18688011015994,0.373760216605507,0.707027311049584,0.229885206027095,0.193420106441296,0.0247836450419119,0.741447151362986
"26",4,0.196776233069226,0.0377789318629572,1e-05,0.490301206478871,2.08703140567474,2.19417977399349,3.09904820031788,42.3641143506009,5.21485801632713,170.55046726173,1.22795626698528,0.831832360668764,1.06548624675913,0.292421345859341,0.58846972156126,0.0949447953317688,1.49969665486925,52.7727207847539,16.6025841375553,31.666278998896,9.79417338627204,8.3362508392252,1.02616011644371,33.5602784959597,64.802593213503,13.8105667563444,33.7399847593611,2.86402536319341,4.90563121022367,0.0974285622333723,50.330237396871,1.18666573930035,0.373331476696956,0.712058954329528,0.220235186464254,0.187451833409738,0.0230745929925979,0.754648085228893
"27",4,0.164614802207585,0.0302231454903657,1e-05,0.402260530712785,1.84501160795544,1.72757488222313,2.70924641919279,40.9415765493046,4.90706450472996,173.467265599086,1.54314632271426,1.01568236061857,1.27679408007421,0.413582329858271,0.692526500629308,0.111733508887476,1.72291063033488,44.1431582385143,13.8804258485142,26.6722271330413,7.83174937613244,6.7395895257305,0.807775452865986,28.5552796160842,68.1193523087569,14.09810369221,34.0549417058618,3.23907315384691,4.66734434993208,0.0902555857418866,49.1981948027366,1.18655009391965,0.373100187014476,0.716938589639559,0.21051422980645,0.181157418359755,0.0217126747996901,0.767554272562328
"28",4,0.136148079358158,0.0241785163922926,1e-05,0.330027945114417,1.62660182543978,1.28227634255765,2.35577987613328,39.4600604468364,4.69697591727948,176.248277627702,1.94956215238755,1.2494793494687,1.54274853589656,0.592994555490512,0.84697345141246,0.136652266122458,2.00762858907639,36.5080212509675,11.477110637204,22.2020641243359,6.18647515236835,5.3724114411936,0.639484249929125,23.9958644891951,71.1746564894467,14.3404127327539,34.2522019217009,3.66854608303177,4.55028986075553,0.0873869719024349,48.1747835681109,1.1865016223602,0.373003244887974,0.721561569228339,0.201058905781741,0.174602037375382,0.0207830792799977,0.779859635520806
"29",4,0.111338318118867,0.0193428131138341,1e-05,0.270738201773973,1.42934160389675,0.901304167949009,2.0372835221934,37.9435937481379,4.59484667756315,178.822891618388,2.47468082829872,1.54787410386444,1.87896552620152,0.857622992460978,1.08170937515973,0.174524995033758,2.37528629731933,29.8549063735755,9.38489305987613,18.2634411315068,4.83650810257014,4.22457591130323,0.511582501093944,19.9098399939438,73.8813644333406,14.5266329349193,34.3163762759121,4.14790055198797,4.56976336933067,0.0892839334627784,47.291570119435,1.18648599931477,0.372972002701204,0.725820973299779,0.192211259263939,0.167892007735124,0.0203311799892175,0.791251732824728
"30",4,0.0900441185463865,0.0154742504910673,1e-05,0.222072580465357,1.25153535208125,0.605994842956327,1.75267525386937,36.4127959358472,4.60002408872541,181.154904191864,3.15482626385722,1.93025277063879,2.30593526091937,1.24928657327212,1.44393755793237,0.232967561263848,2.85550819692453,24.1449287756694,7.58991556392843,14.8486286071183,3.74752949969189,3.27875811385281,0.414205114361424,16.3119336683115,76.1730554404439,14.6504555461873,34.2399762814502,4.68173828690627,4.73432198396756,0.0964963553557944,46.5788602975526,1.18648468949028,0.37296935910615,0.729663386707788,0.184154048086411,0.16111856608782,0.0203540888881655,0.80157037253037
