"reaction","phi","rel_phi","mu","convergence","f.TS","f.AAS","f.R","v.TS","v.AAS","v.R","p.TS","p.AAS","p.R","c.x_S","c.S","c.AA","c.P"
"R",0.233119038076152,0.513014548800724,1.01830529623564,4,1.00000000012738,0.923492666695823,0.358273762623327,346.22380076422,319.735141000584,124.042903793745,38.0846180840642,55.3313915454995,28.3970696623676,100,26.0124933667303,192.174427384648,121.813079291931
"R",0.232208416833667,0.511010585719471,1.01445473931237,4,0.999999999994395,0.923720411925998,0.356722871743388,344.914611364272,318.604666890487,123.038930672807,37.9406072500699,55.1814697361439,28.1636994065379,100,25.935059943255,192.779163662088,121.285776392752
"R",0.231297795591182,0.509006622638218,1.01060225368782,4,0.999999999994527,0.923947934091921,0.355174161376634,343.604766251978,317.47291392439,122.039534699229,37.7965242877176,55.0312296246211,27.931460955717,100,25.8577024068861,193.383082723197,120.759214868056
"R",0.230387174348697,0.507002659556965,1.00674786124163,4,1.00000000003684,0.924175238252173,0.3536276317904,342.294272834766,316.339891137769,121.044713073515,37.6523700118242,54.8806724712797,27.7003523256319,100,25.7804190067878,193.986186197003,120.233394808736
"R",0.229476553106212,0.504998696475712,1.00289158292621,4,1.00000000000725,0.924402318569804,0.352083271970289,340.983138197385,315.205603540584,120.054458982362,37.5081452017123,54.729796634799,27.470370633387,100,25.7032116887327,194.588475843835,119.708312469898
"R",0.228565931863727,0.502994733394459,0.999033439233652,4,0.999999999956534,0.924629194477151,0.350541095881338,339.671369324677,314.070064619279,119.068774047762,37.3638506257145,54.5786070278605,27.2415149460798,100,25.62607386299,195.189953522577,119.183972599655
"R",0.227655310621243,0.500990770313207,0.995173450081434,4,0.999999999987668,0.924855853913571,0.349001085724142,338.358973023515,312.933276928841,118.087648951168,37.2194870325866,54.427100266725,27.0137818468965,100,25.5490096651929,195.790621184406,118.660369146208
"R",0.226744689378758,0.498986807231954,0.991311636591113,4,1.00000000005785,0.925082302606993,0.347463242155165,337.045956460476,311.795249468796,117.111080780271,37.0750552106523,54.2752777163303,26.7871694057734,100,25.4720171332907,196.390480553622,118.137502332756
"R",0.225834068136273,0.496982844150701,0.987448017570045,4,1.00000000004263,0.925308542165067,0.34592756072808,335.732325988129,310.655989104518,116.139064581686,36.9305558586942,54.123139545691,26.561675243162,100,25.3950956783727,196.989533688576,117.615370647547
"R",0.224923446893788,0.494978881069448,0.983582612607589,4,1.00000000002845,0.925534584231087,0.344394047278026,334.418088296095,309.515506301675,115.171598907996,36.7859897125704,53.9706885612245,26.3372978007339,100,25.3182413711033,197.587782564041,117.093976074529
