"x_C","x_C2","protein","phi","mu","mu_norm","convergence","f.TS","f.LAC","f.EFFLUX","f.ATPS","f.AAS","f.NTS","f.ADPS","f.RNAP","f.DNAP","f.R","v.TS","v.LAC","v.EFFLUX","v.ATPS","v.AAS","v.NTS","v.ADPS","v.RNAP","v.DNAP","v.R","p.TS","p.LAC","p.EFFLUX","p.ATPS","p.AAS","p.NTS","p.ADPS","p.RNAP","p.DNAP","p.R","c.x_S","c.x_W","c.x_LAC","c.S","c.AA","c.NT","c.ATP","c.ADP","c.RNA","c.DNA","c.P"
0.48,0.01,"LAC",0.36,0.587531005759503,0.695500001005324,4,0.936139908520431,0.335967009467722,9.766810164358e-17,13.6053459002049,0.695629434504672,3.10717905868179,0.135908679577777,0.363461648453745,0.073914807602069,10.9661686099761,124.302536168524,44.6103739042557,1.29685665855759e-14,1806.54513866245,92.3670726516403,412.577472457412,18.0462272840537,48.261167258854,9.81455652271781,1456.10988044094,19.1633076593141,44.6103739042557,5.59817927453777e-17,2.7741377750461,13.001858437343,0.981785367208852,0.0584883536384474,6.41523088034972,0.230148941071537,36.6823739745023,0.48,1e-05,0.01,15.5922254983418,8.51100584678018,3.85982812660457,9.52558190246446,1.33152272556362,52.5710928323496,10.6910377715633,123.91770529273
0.48,0.01,"LAC",0.365,0.58395837233469,0.691270834329539,4,0.929389721270825,0.34271719556673,2.06001212623768e-17,13.6053458418205,0.695629431785684,3.10717907354405,0.13590868207274,0.363461648752101,0.073914806717969,10.9661685311872,122.655829410926,45.2299621069021,2.71869260179411e-15,1795.55996850185,91.8054105458101,410.068690960658,17.9364928858731,47.9677028553673,9.7548764702756,1447.25561932572,18.9094403675177,45.2299621069021,1.17358603642536e-17,2.75726889335757,12.9227973098284,0.975815374433647,0.0581327007470952,6.37622140831702,0.228749457934487,36.4593167833777,0.48,1e-05,0.01,15.5922251382117,8.51100630066568,3.85982833330657,9.5255824848809,1.33152282158843,52.5710928755039,10.691037643687,123.917704402416
0.48,0.01,"LAC",0.37,0.580385381455565,0.687041244511021,4,0.92255574221105,0.3495511749303,1.15801906466122e-17,13.6053459095894,0.695629426480195,3.1071791375495,0.135908684296393,0.363461657803858,0.0739148066808761,10.966168534422,121.008957796723,45.8496125920369,1.51893998066226e-15,1784.57371587927,91.2436919089097,407.559664873422,17.8267474687379,47.6742102374259,9.69519055917698,1438.40048319817,18.6555476603281,45.8496125920369,6.55685301204035e-18,2.74039839571959,12.8437283438634,0.96984480968231,0.0577770121446246,6.33720815044207,0.227349836144522,36.2362376386068,0.48,1e-05,0.01,15.5922241393515,8.51100505776211,3.85982854184081,9.52558292052679,1.33152284108036,52.5710941847501,10.6910376383219,123.917704438968
0.48,0.01,"LAC",0.375,0.576813105490259,0.682812500984116,4,0.915638486685526,0.356468434975827,1.5266760070043e-18,13.6053460830696,0.69562944354725,3.10717905602343,0.135908685128933,0.363461646813631,0.0739148049169944,10.9661687993517,119.362415056594,46.469140287211,1.99017120681142e-16,1773.58967515059,90.6820885902667,405.051121739931,17.7170238255038,47.3807737168893,9.63551636548847,1429.54715298948,18.4017056545583,46.469140287211,8.59103076854051e-19,2.72353126790143,12.7646754585982,0.963875386963555,0.0574213964359241,6.29820267543773,0.225950500819937,36.0132048047483,0.48,1e-05,0.01,15.5922239422517,8.51100532246932,3.85982773538595,9.5255827491309,1.33152283976237,52.5710925951236,10.6910373831941,123.917707432674
0.48,0.01,"LAC",0.38,0.573240114684778,0.678582911252777,4,0.90863361722478,0.363473300158313,6.00077392449923e-17,13.6053458501469,0.695629429023495,3.10717908865186,0.135908684780681,0.363461646525039,0.0739148055226084,10.9661685238913,117.715544001429,47.088789636479,7.77413859185085e-15,1762.60338349493,90.120368769767,402.542091550236,17.6072780713756,47.0872798818821,9.57583054039839,1420.6919807171,18.1478130335537,47.088789636479,3.355885293354e-17,2.70666052452294,12.685605947354,0.957904787922149,0.0570657040160576,6.25918893008963,0.224550869362532,35.7901248866719,0.48,1e-05,0.01,15.5922249665735,8.51100577534381,3.85982914350895,9.52558260116683,1.33152325517927,52.5710925533816,10.6910374707901,123.917704319972
0.48,0.01,"LAC",0.385,0.569667480544736,0.674353743730326,4,0.901541580605802,0.37056533957348,5.1452947660369e-17,13.6053460729789,0.695629439178342,3.10717907727278,0.135908684080753,0.363461647067381,0.0739148044379144,10.9661687689135,116.068836107586,47.7083792820786,6.62430205962387e-15,1751.61824756928,89.558708222141,400.033306100595,17.4975432276418,46.7938154516504,9.5161504547174,1411.83775984226,17.8939455665862,47.7083792820786,2.85953202772036e-17,2.68979183180313,12.6065452148152,0.951934804696954,0.0567100506417817,6.22017956664797,0.223151389469328,35.5670693819832,0.48,1e-05,0.01,15.5922236404924,8.5110047478385,3.85982893564646,9.52558237028309,1.33152298194587,52.571092631826,10.6910373138999,123.917707088722
0.48,0.01,"LAC",0.39,0.566094847891006,0.670124577967323,4,0.894360036495014,0.377746883717457,6.79263001752166e-19,13.6053460689502,0.695629438082222,3.10717908560492,0.135908687270801,0.363461645852232,0.0739148058622996,10.9661687526783,114.422129593193,48.3279676175298,8.6903166558003e-17,1740.63308682996,88.9970464523635,397.524524234853,17.3878089283644,46.5003509177831,9.45647071662165,1402.98350883077,17.640078312284,48.3279676175298,3.75137465593281e-19,2.67292297902752,12.5274840903864,0.945964806717351,0.0563543994803077,6.18117013662981,0.221751915832675,35.3440126473772,0.48,1e-05,0.01,15.5922234988581,8.51100472026413,3.85982852519014,9.52558311927313,1.33152299152423,52.5710924560669,10.691037519923,123.917706905265
0.48,0.01,"LAC",0.395,0.56252257180113,0.665895834292956,4,0.887088005565641,0.385018911017482,8.56943115826709e-18,13.6053458291025,0.695629431084088,3.10717907813847,0.13590868841494,0.363461646035904,0.0739148037008207,10.9661685072173,112.775587944867,48.9474931319832,1.08943265060878e-15,1729.6489924829,88.435439990239,395.015990734332,17.2780853158277,46.2069158526966,9.39679647666326,1394.13011239548,17.3862364748336,48.9474931319831,4.70278602561037e-18,2.6560557140897,12.4484305358709,0.939995384267889,0.0559987823235302,6.14216469931096,0.220352573834271,35.1209768350414,0.48,1e-05,0.01,15.5922245394788,8.51100646713741,3.85982839298967,9.52558376346732,1.33152301569513,52.5710924826331,10.6910372072867,123.917704131555
0.48,0.01,"LAC",0.4,0.558949581151106,0.661666244745642,4,0.879721529632744,0.392385394665467,9.24106357249338e-18,13.6053462166991,0.695629449330679,3.10717909971671,0.135908689398758,0.363461650704072,0.073914806240972,10.9661688938729,111.12871559703,49.5671453515648,1.16735522659132e-15,1718.66278064818,87.8737243907853,392.506959134676,17.1683397332163,45.9134226581699,9.33711089757197,1385.27502527414,17.1323436545422,49.5671453515648,5.039156916817e-18,2.63918523307354,12.3693623279737,0.934024841010996,0.0556430957115426,6.10315153826641,0.218952966053259,34.8978994925677,0.48,1e-05,0.01,15.5922216696738,8.51100534781667,3.85982746813624,9.52558278561087,1.33152348738381,52.571093157837,10.6910375746942,123.917708500764
0.48,0.01,"LAC",0.405,0.555377304956435,0.657437500947221,4,0.87226177772468,0.399845145425129,1.3014207335613e-17,13.6053461574756,0.69562944359417,3.10717908096124,0.135908684350112,0.363461649887611,0.0739148066293987,10.9661688526436,109.482173344409,50.1866717541436,1.63348175954052e-15,1707.67870891803,87.3121180727584,389.998424144286,17.0586153366061,45.6199874547297,9.27743697909979,1376.42165449571,16.8785017239297,50.1866717541436,7.05129895524765e-18,2.62231815501898,12.2903086562688,0.928055410899419,0.0552874747534271,6.06414584222748,0.217553622971728,34.6748653946592,0.48,1e-05,0.01,15.592223477494,8.51100461043563,3.8598279005061,9.52558249674635,1.33152280939338,52.571093039744,10.6910376308762,123.917708034872
0.48,0.01,"LAC",0.41,0.551804671534374,0.653208334274693,4,0.864704676404639,0.407402249557927,1.79461026605877e-17,13.6053462981695,0.695629452694804,3.10717908267469,0.135908683013431,0.363461653325372,0.0739148053566503,10.9661689999965,107.83546606592,50.806260976927,2.2380199821722e-15,1696.69356380905,86.7504574537797,387.489640883715,16.9488804386905,45.3265234396517,9.21775688544592,1367.56742196557,16.6246343518293,50.806260976927,9.66092714987575e-18,2.60544938351784,12.2112479133655,0.922085434684829,0.0549318209653816,6.02513651415589,0.216154142180683,34.4518091623341,0.48,1e-05,0.01,15.5922221006424,8.51100466907299,3.85982778687848,9.52558198221221,1.33152277728047,52.5710935369818,10.6910374467859,123.917709699961
0.48,0.01,"LAC",0.415,0.548232038111891,0.648979167601666,4,0.857049091811605,0.415057832162007,5.19320484347439e-18,13.6053461986719,0.695629428792387,3.10717923479793,0.135908687613426,0.363461668536839,0.0739148132585384,10.9661687354404,106.188760102676,51.4258482848686,6.43440368301536e-16,1685.70838871177,86.1887927309462,384.980876255921,16.8391462784771,45.0330608777549,9.15807793058177,1358.71313816072,16.3707671824958,51.4258482848686,2.77755810343966e-18,2.58858046444365,12.1321863722758,0.916115475083283,0.0545761687345918,5.98612692805898,0.214754671907254,34.2287511626086,0.48,1e-05,0.01,15.5922219498878,8.51100285450751,3.85982805583397,9.52558314313731,1.33152295931376,52.5710957371683,10.691038589715,123.917706710477
